diasuransikan	di @@asuransi @@kan
bir	bir
menggoyahkan	men @@goyah @@kan
fasilitasnya	fasilitas @@nya
birokrasi	birokrasi
memperingatkan	men @@ingat @@kan
menyebut	men @@sebut
menaatinya	men @@taat @@i @@nya
terpencil	terpencil
balita	balita
mentalitas	mentalitas
karakternya	karakteri @@nya
penekanannya	pen @@tekan @@an @@nya
lagu	lagu
aktris	aktris
bertanam	ber @@tanam
mapan	mapan
dibanyak	di @@banyak
menyelesaikan	men @@selesai @@kan
penahan	pen @@tahan
diciptakannya	di @@cipta @@kan @@nya
mengagungkan	men @@agung @@kan
tongkatnya	tongkat @@nya
dikategori	di @@kategori
dinaikkan	di @@naik @@kan
ketidakpercayaan	ke @@tidak @@percaya @@an
nonmuslim	nonmuslim
pembesar	pen @@besar
penurunan	pen @@turun @@an
meluas	men @@luas
menjelang	men @@jelang
drama	drama
mengajarkannya	men @@ajar @@kan @@nya
tergantikan	ter @@ganti @@kan
dimekarkan	di @@mekar @@kan
perekam	pen @@rekam
nakal	nakal
teman	teman
kananmu	kanan @@mu
diraihnya	di @@raih @@nya
penting	penting
terdapatnya	ter @@dapat @@nya
sinar	sinar
ditembuskan	di @@tembus @@kan
premi	premi
pengoleksi	pen @@koleksi
tampilkan	tampil @@kan
membalas	men @@balas
dikecewakan	di @@kecewa @@kan
terwujudnya	ter @@wujud @@nya
pengadministrasiannya	pen @@administrasi @@an @@nya
mengutusnya	men @@utus @@nya
ulangan	ulang @@an
pengusulan	pen @@usul @@an
pengetahuannya	pengetahuan @@nya
dihancurkan	di @@hancur @@kan
menampik	men @@tampik
kakaknya	kakak @@nya
tindakannya	tindak @@an @@nya
menggelapkan	men @@gelap @@kan
presiden	presiden
terjadi	ter @@jadi
seutuhnya	se @@utuh @@nya
bervariasinya	ber @@variasi @@nya
tergabung	ter @@gabung
pengecualiannya	pengecualian @@nya
menggoreng	men @@goreng
dikasih	di @@kasih
harinya	hari @@nya
mengingatkannya	men @@ingat @@kan @@nya
galian	gali @@an
didanai	di @@dana @@i
orangtua	orangtua
menetes	men @@tetes
penghalang	pen @@halang
perumpamaan	per @@umpama @@an
bermigrasi	ber @@migrasi
tegak	tegak
ambisius	ambisius
perempuannya	perempuan @@nya
mengangkut	men @@angkut
lubang	lubang
menyalahkan	men @@salah @@kan
bicara	bicara
dimusyawarahkan	di @@musyawarah @@kan
mengizinkannya	men @@izin @@kan @@nya
akuisisi	akuisisi
bunyi	bunyi
diterima	di @@terima
pautnya	paut @@nya
tumbuh	tumbuh
pergi	pergi
pemeliharaan	pen @@pelihara @@an
kawannya	kawan @@nya
cuaca	cuaca
sebal	sebal
kaya	kaya
palungan	palung @@an
melatihnya	men @@latih @@nya
organ	organ
melambung	men @@lambung
amerika	amerika
mendayagunakan	men @@dayaguna @@kan
pemerintah	pen @@perintah
mengelompokkannya	men @@kelompok @@kan @@nya
penerbit	pen @@terbit
setulusnya	se @@tulus @@nya
menginformasikan	men @@informasi @@kan
merajut	men @@rajut
dikemukakan	di @@kemuka @@kan
manisnya	manis @@nya
perawatan	pen @@rawat @@an
tunjangannya	tunjang @@an @@nya
menahun	men @@tahun
raksasa	raksasa
menghargai	men @@harga @@i
regional	regional
sebaik	se @@baik
menyerupai	men @@serupa @@i
karbon	karbon
diterjunkan	di @@terjun @@kan
ketidakadilan	ke @@tidak @@adil @@an
diarahkan	di @@arah @@kan
kawanan	kawan @@an
pejuang	pejuang
penerbangan	pen @@terbang @@an
fotonya	foto @@nya
mencarikan	men @@cari @@kan
berbelok	ber @@belok
jurnal	jurnal
juru	juru
realokasi	realokasi
irak	irak
gedung	gedung
indeks	indeks
ditahan	di @@tahan
ditayangkan	di @@tayang @@kan
dibayar	di @@bayar
dihantam	di @@hantam
radio	radio
kira	kira
pelengkap	pen @@lengkap
gundul	gundul
gunanya	guna @@nya
kelahirannya	ke @@lahir @@an @@nya
penggelembungan	pen @@gelembung @@an
dicontoh	di @@contoh
pencapaiannya	pen @@capai @@an @@nya
pengapalan	pen @@kapal @@an
restoran	restoran
korup	korup
penandatangan	pen @@tandatangan
menganggarkan	men @@anggar @@kan
lanjutnya	lanjut @@nya
sosial	sosial
berjiwa	ber @@jiwa
menyentuh	men @@sentuh
bbm	bbm
angin	angin
pedesaannya	pedesaan @@nya
mutakhir	mutakhir
membolehkan	men @@boleh @@kan
limbah	limbah
kepemimpinannya	kepemimpinan @@nya
bernuansa	ber @@nuansa
merantai	men @@rantai
ajar	ajar
berteguh	ber @@teguh
terpandai	ter @@pandai
penyimpangan	pen @@simpang @@an
dipadati	di @@padat @@i
membusuk	men @@busuk
rutinitas	rutinitas
murah	murah
menunjukkan	men @@tunjuk @@kan
pendekatannya	pen @@dekat @@an @@nya
pelatih	pen @@latih
utang	utang
remeh	remeh
taksi	taksi
gula	gula
tema	tema
perlombaan	per @@lomba @@an
diperdakan	di @@perda @@kan
ruu	ruu
mini	min @@i
rumahnya	rumah @@nya
relevannya	relevan @@nya
mewah	mewah
pewawancara	pen @@wawancara
teratur	ter @@atur
sepakbola	sepakbola
pintar	pintar
berkemampuan	ber @@ke @@mampu @@an
kirimu	kiri @@mu
pemukiman	pen @@mukim @@an
mengulangnya	men @@ulang @@nya
mendefinisikan	men @@definisi @@kan
mendaur	men @@daur
kompilasi	kompilasi
statistik	statistik
daerahnya	daerah @@nya
persembunyiannya	per @@sembunyi @@an @@nya
kokoh	kokoh
berasas	ber @@asas
administrasinya	administrasi @@nya
gandum	gandum
menamai	men @@nama @@i
dilukis	di @@lukis
menyemburkan	men @@sembur @@kan
memanfaatkannya	men @@manfaat @@kan @@nya
wirausaha	wirausaha
modifikasi	modifikasi
menyulitkan	men @@sulit @@kan
diasumsikan	di @@asumsi @@kan
terpilihnya	ter @@pilih @@nya
katalis	katalis
terbelah	ter @@belah
mengesampingkan	men @@kesamping @@kan
kreditnya	kredit @@nya
gizinya	gizi @@nya
menelan	men @@telan
bulan	bulan
diperlihatkan	di @@per @@lihat @@kan
diancam	di @@ancam
ada	ada
hitung	hitung
pencurian	pen @@curi @@an
kucapai	ku @@capai
diselamatkan	di @@selamat @@kan
diseleksi	di @@seleksi
menyatakannya	men @@nyata @@kan @@nya
berkepentingan	ber @@ke @@penting @@an
tabrak	tabrak
kesudahan	ke @@sudah @@an
agunan	agun @@an
latihan	latih @@an
kemungkinan	kemungkinan
mengering	men @@kering
dipersulit	di @@per @@sulit
terbitkan	terbit @@kan
diberlakukannya	di @@ber @@laku @@kan @@nya
permohonan	per @@mohon @@an
meringkas	men @@ringkas
merancang	men @@rancang
pesanan	pesan @@an
mahabintang	mahabintang
antardusun	antar @@dusun
berpenghuni	ber @@pen @@huni
fragmen	fragmen
anggotanya	anggota @@nya
perencanaan	pen @@rencana @@an
tersinggung	ter @@singgung
penunjukan	pen @@tunjuk @@an
dikendorkan	di @@kendor @@kan
komunitas	komunitas
memonopoli	men @@monopoli
layanannya	layan @@an @@nya
membalasnya	men @@balas @@nya
bercacat	ber @@cacat
tersambar	ter @@sambar
mengubur	men @@kubur
tipe	tipe
pelita	pelita
kuba	kuba
akuntabilitasnya	akuntabilitas @@nya
globalisasi	globalisasi
meredam	men @@redam
dipelajari	di @@pelajar @@i
maksimalnya	maksimal @@nya
topi	top @@i
dagang	dagang
melintasinya	men @@lintas @@i @@nya
penjamuran	pen @@jamur @@an
perdana	perdana
penjatahan	pen @@jatah @@an
berakhirnya	ber @@akhir @@nya
bertahan	ber @@tahan
pemberi	pen @@beri
dinyatakan	di @@nyata @@kan
sampan	sampan
pendetanya	pendeta @@nya
ukiran	ukir @@an
koalisi	koalisi
menghambakan	men @@hamba @@kan
mengencerkan	men @@encer @@kan
ayahnya	ayah @@nya
karyanya	karya @@nya
dipulihkan	di @@pulih @@kan
kering	kering
edisi	edisi
mengacaukan	men @@kacau @@kan
mengungguli	men @@unggul @@i
diambang	di @@ambang
bendera	bendera
mertuanya	mertua @@nya
terjawab	ter @@jawab
ucapan	ucap @@an
diminatinya	di @@minat @@i @@nya
dimotori	di @@motor @@i
layang	layang
berperingkat	ber @@peringkat
ketidakselarasan	ke @@tidak @@selaras @@an
komunis	komunis
ongkos	ongkos
rukun	rukun
didaftar	di @@daftar
asing	asing
fisik	fisik
disuruh	di @@suruh
burung	burung
disentuh	di @@sentuh
menjulurkan	men @@julur @@kan
menghambat	men @@hambat
rekannya	rekan @@nya
tertahankan	ter @@tahan @@kan
telinga	telinga
dihimbau	di @@himbau
mendarat	men @@darat
gitar	gitar
realisasi	realisasi
pendesentralisasian	pen @@desentralisasi @@an
sidang	sidang
membencinya	men @@benci @@nya
dikorbankan	di @@korban @@kan
terendah	ter @@rendah
menganan	men @@kanan
mengumumkan	men @@umum @@kan
melantik	men @@lantik
ejekan	ejek @@an
umum	umum
dibiarkan	di @@biar @@kan
menciptakan	men @@cipta @@kan
mengajari	men @@ajar @@i
restrukturisasi	restrukturisasi
chevy	chevy
pisaunya	pisau @@nya
perdanya	perda @@nya
menyetorkan	men @@setor @@kan
tasnya	tas @@nya
hamba	hamba
melanggankan	men @@langgan @@kan
mengoleksi	men @@koleksi
generasi	generasi
konstitusi	konstitusi
ditambah	di @@tambah
pelayannya	pen @@layan @@nya
mulut	mulut
tersobek	ter @@sobek
cangkir	cangkir
penjangkauan	pen @@jangkau @@an
memanfaatkan	men @@manfaat @@kan
pengelolaan	pen @@kelola @@an
tersingkir	ter @@singkir
merangkum	men @@rangkum
rumor	rumor
terkubur	ter @@kubur
menduduki	men @@duduk @@i
kuda	kuda
korelasinya	korelasi @@nya
senior	senior
tiketnya	tiket @@nya
banknya	bank @@nya
selandia	selandia
mencukur	men @@cukur
murka	murka
lantainya	lantai @@nya
tokoh	tokoh
menghiburku	men @@hibur @@ku
perindustrian	per @@industri @@an
mengagendakan	men @@agenda @@kan
logonya	logo @@nya
sawah	sawah
menegur	men @@tegur
trendi	trend @@i
september	september
nasionalnya	nasional @@nya
skandalnya	skandal @@nya
gemuruhnya	gemuruh @@nya
sedekah	sedekah
etnis	etnis
jumat	jumat
didapati	di @@dapat @@i
pahamnya	paham @@nya
mobilnya	mobil @@nya
bertemakan	ber @@tema @@kan
budaknya	budak @@nya
mengejeknya	men @@ejek @@nya
ditiadakan	di @@tiada @@kan
wabah	wabah
berjudul	ber @@judul
menakjubkannya	men @@takjub @@kan @@nya
pantauan	pantau @@an
omongan	omong @@an
iuran	iuran
meratapi	men @@ratap @@i
juni	juni
artikelnya	artikel @@nya
menunggak	men @@tunggak
mengklaim	men @@klaim
benak	benak
menghangatkan	men @@hangat @@kan
berlanjutnya	ber @@lanjut @@nya
terpuruknya	ter @@puruk @@nya
pola	pola
pengiriman	pen @@kirim @@an
persekolahan	per @@sekolah @@an
partai	partai
panggil	panggil
deras	deras
anakku	anak @@ku
dirumuskan	di @@rumus @@kan
kairo	kairo
penyedia	pen @@sedia
debiturnya	debitur @@nya
pembimbingan	pen @@bimbing @@an
rahasia	rahasia
layaknya	layak @@nya
pinjam	pinjam
huni	huni
suspensi	suspensi
dituntut	di @@tuntut
memperdalam	men @@dalam
terinfeksi	ter @@infeksi
bentukan	bentuk @@an
areal	areal
teologiku	teologi @@ku
model	model
anggukan	angguk @@an
watak	watak
mempertegas	men @@tegas
ketidakberuntungan	ke @@tidak @@beruntung @@an
sekiranya	sekira @@nya
pengampunan	pen @@ampun @@an
secepatnya	se @@cepat @@nya
ibunya	ibu @@nya
tersesat	ter @@sesat
menjaminkan	men @@jamin @@kan
agenda	agenda
dipahaminya	di @@paham @@i @@nya
diboboli	di @@bobol @@i
penjahat	pen @@jahat
menganut	men @@anut
terdistribusikan	ter @@distribusi @@kan
menaikkan	men @@naik @@kan
garapan	garap @@an
dikupas	di @@kupas
ditandatangani	di @@tandatangan @@i
bicarakan	bicara @@kan
pihaknya	pihak @@nya
penghapusan	pen @@hapus @@an
dihasilkannya	di @@hasil @@kan @@nya
meneg	meneg
dilaporkan	di @@lapor @@kan
mengelilinginya	men @@keliling @@i @@nya
hakim	hakim
berdasarkan	ber @@dasar @@kan
aksesibilitas	aksesibilitas
sentuh	sentuh
kamar	kamar
diceritakan	di @@cerita @@kan
seusai	se @@usai
panti	panti
memerintahkan	men @@perintah @@kan
pengetikan	pen @@ketik @@an
batas	batas
menghakimi	men @@hakim @@i
ritel	ritel
bijih	bijih
mengajarinya	men @@ajar @@i @@nya
penulisannya	pen @@tulis @@an @@nya
pai	pai
seteguh	se @@teguh
jemu	jemu
dipersiapkan	di @@per @@siap @@kan
dijuluki	di @@juluk @@i
skor	skor
susut	susut
mendadak	mendadak
dilangsungkan	di @@langsung @@kan
perjuangan	per @@juang @@an
aceh	aceh
berjaga	ber @@jaga
pemberitaannya	pen @@berita @@an @@nya
musyawarah	musyawarah
memarkir	men @@parkir
fitnah	fitnah
sekretaris	sekretaris
terpakai	ter @@pakai
hati	hati
direlokasi	di @@relokasi
bakunya	baku @@nya
diimplementasikan	di @@implementasi @@kan
dipastikan	di @@pasti @@kan
ditinggal	di @@tinggal
sayuran	sayur @@an
bahan	bah @@an
terbuai	ter @@buai
pemilik	pen @@milik
kecurigaan	ke @@curiga @@an
perhubungan	per @@hubung @@an
penghancur	pen @@hancur
meninggalkannya	men @@tinggal @@kan @@nya
dikoordinasikan	di @@koordinasi @@kan
meriah	meriah
prosesnya	proses @@nya
mengakses	men @@akses
membayarkan	men @@bayar @@kan
kelanjutan	ke @@lanjut @@an
diampuni	di @@ampun @@i
riang	riang
pengatur	pen @@atur
moskow	moskow
tahanan	tahan @@an
mengaburkan	men @@kabur @@kan
melanda	men @@landa
diidentifikasikan	di @@identifikasi @@kan
mengulangi	men @@ulang @@i
mencemaskan	men @@cemas @@kan
antipesawat	anti @@pesawat
diresmikan	di @@resmi @@kan
didiknya	didik @@nya
simpang	simpang
dibagikan	di @@bagi @@kan
terserap	ter @@serap
tuju	tuju
menambah	men @@tambah
investasi	investasi
penyuluh	pen @@suluh
terakomodasinya	ter @@akomodasi @@nya
lingkar	lingkar
berstatus	ber @@status
sabaran	sabar @@an
warnanya	warna @@nya
diterapkan	di @@terap @@kan
serius	serius
pembobotan	pen @@bobot @@an
pelamar	pen @@lamar
memasarkan	men @@pasar @@kan
tumpangi	tumpang @@i
terpikir	ter @@pikir
dilacak	di @@lacak
harga	harga
tersajikan	ter @@saji @@kan
pembimbing	pen @@bimbing
halal	halal
perkreditan	per @@kredit @@an
diiringi	di @@iring @@i
dikonsentrasikan	di @@konsentrasi @@kan
berwilayah	ber @@wilayah
menyebarluaskan	men @@sebarluas @@kan
administratif	administratif
tereliminasi	ter @@eliminasi
jadinya	jadi @@nya
mengerikan	men @@ngeri @@kan
ikannya	ikan @@nya
merefleksikan	men @@refleksi @@kan
properti	properti
diakomodasi	di @@akomodasi
asumsi	asumsi
dihidangkan	di @@hidang @@kan
hangus	hangus
digodok	di @@godok
undi	undi
bank	bank
memedihkan	men @@pedih @@kan
nelayan	nelayan
penumpukan	pen @@tumpuk @@an
menginginkan	men @@ingin @@kan
dikte	dikte
pergantian	per @@ganti @@an
kisaran	kisar @@an
aset	aset
diskusi	diskusi
aniaya	aniaya
mengagunkan	men @@agun @@kan
maju	maju
minumannya	minum @@an @@nya
pencemaran	pen @@cemar @@an
sayang	sayang
pengasinan	pen @@asin @@an
langka	langka
memberinya	men @@beri @@nya
berbagi	ber @@bagi
pengobatannya	pen @@obat @@an @@nya
dilayani	di @@layan @@i
penanggung	pen @@tanggung
menangkal	men @@tangkal
sulitnya	sulit @@nya
ham	ham
berdedikasi	ber @@dedikasi
menentang	men @@tentang
junjunganku	junjung @@an @@ku
dewasa	dewasa
berbisik	ber @@bisik
wibawa	wibawa
tepung	tepung
adil	adil
terpelajar	ter @@pelajar
ayah	ayah
meleleh	men @@leleh
berkonotasi	ber @@konotasi
antarguru	antar @@guru
mati	mati
lagunya	lagu @@nya
penghasilan	pen @@hasil @@an
susu	susu
aparatnya	aparat @@nya
dugaan	duga @@an
merebak	men @@rebak
besar	besar
membekas	men @@bekas
tuamu	tua @@mu
refleksi	refleksi
memandangku	men @@pandang @@ku
merapikan	men @@rapi @@kan
pemutakhiran	pen @@mutakhir @@an
penganggur	pen @@anggur
biologis	biologis
dampingan	damping @@an
langkah	langkah
york	york
merestui	men @@restu @@i
yunani	yunani
mengencangkan	men @@kencang @@kan
kupelajari	ku @@pelajar @@i
diketuai	di @@ketua @@i
layani	layan @@i
setara	setara
merontokkan	men @@rontok @@kan
menghimpunkan	men @@himpun @@kan
takaran	takar @@an
kristen	kristen
ribut	ribut
silam	silam
larut	larut
dianut	di @@anut
intens	intens
terungkap	ter @@ungkap
gembira	gembira
sah	sah
meminimalisasi	men @@minimalisasi
reputasi	reputasi
menetap	men @@tetap
transaksinya	transaksi @@nya
pengamat	pengamat
diperberat	di @@per @@berat
melanjutkan	men @@lanjut @@kan
belulang	belulang
periksa	periksa
penetapan	pen @@tetap @@an
dihuni	di @@huni
tawa	tawa
pembersihan	pen @@bersih @@an
pahatan	pahat @@an
argumentasi	argumentasi
perairan	per @@air @@an
karunia	karunia
sihir	sihir
hasilkan	hasil @@kan
imajinasi	imajinasi
album	album
jelek	jelek
dibacanya	di @@baca @@nya
tropis	tropis
nonrumah	non @@rumah
menyelesaikannya	men @@selesai @@kan @@nya
bangun	bangun
karibia	karibia
menganyam	men @@anyam
banyak	banyak
lengkapnya	lengkap @@nya
penjualan	pen @@jual @@an
diadaptasi	di @@adaptasi
hiburan	hibur @@an
bus	bus
paginya	pagi @@nya
menempelkan	men @@tempel @@kan
menuruni	men @@turun @@i
simpatinya	simpati @@nya
berpawai	ber @@pawai
dirombak	di @@rombak
perampingan	pen @@ramping @@an
ditepatinya	di @@tepat @@i @@nya
tatapan	tatap @@an
mengorban	men @@korban
dialiri	di @@alir @@i
kecenderungan	kecenderungan
aktor	aktor
duta	duta
tersalurkan	ter @@salur @@kan
sulut	sulut
ekonomis	ekonomis
pendam	pendam
digabung	di @@gabung
menurun	men @@turun
mendengarnya	men @@dengar @@nya
audio	audio
pancaran	pancar @@an
masa	masa
bukunya	buku @@nya
membanjirnya	men @@banjir @@nya
penyangga	pen @@sangga
sokongan	sokong @@an
buatan	buat @@an
mengimani	men @@iman @@i
dideskripsikan	di @@deskripsi @@kan
piutang	piutang
terukur	ter @@ukur
mendanai	men @@dana @@i
ceritanya	cerita @@nya
arogan	arogan
prestasinya	prestasi @@nya
mereview	men @@review
terlihat	ter @@lihat
tertekan	ter @@tekan
jambangan	jambang @@an
seramai	se @@ramai
berteknologi	ber @@teknologi
menyederhanakannya	men @@sederhana @@kan @@nya
alumninya	alumni @@nya
federal	federal
menekankan	men @@tekan @@kan
stres	stres
dikuduskan	di @@kudus @@kan
dirahasiakan	di @@rahasia @@kan
mengangsur	men @@angsur
mendaratkan	men @@darat @@kan
pengabdiannya	pen @@abdi @@an @@nya
dirjen	dirjen
koperasinya	koperasi @@nya
mendisiplinkan	men @@disiplin @@kan
bermilik	ber @@milik
medan	medan
suami	suami
berbau	ber @@bau
tegas	tegas
pencairannya	pen @@cair @@an @@nya
bersusah	ber @@susah
dikerahkan	di @@kerah @@kan
dirampungkan	di @@rampung @@kan
kiamat	kiamat
dipublikasikan	di @@publikasi @@kan
intensifnya	intensif @@nya
jajarannya	jajar @@an @@nya
menyemprotkan	men @@semprot @@kan
menanggulangi	men @@tanggulang @@i
napasnya	napas @@nya
ayam	ayam
rumitnya	rumit @@nya
praktis	praktis
melayaninya	men @@layan @@i @@nya
kegemaran	ke @@gemar @@an
borongan	borong @@an
penertiban	pen @@tertib @@an
kamarmu	kamar @@mu
matang	matang
terkagum	ter @@kagum
muka	muka
terakomodasi	ter @@akomodasi
sukses	sukses
disabotase	di @@sabotase
rangkuman	rangkum @@an
perbelanjaan	per @@belanja @@an
pelibatan	pen @@libat @@an
pencairan	pen @@cair @@an
menginspirasi	men @@inspirasi
badak	badak
dihindari	di @@hindar @@i
daging	daging
alarm	alarm
pendata	pen @@data
aparat	aparat
tangannya	tangan @@nya
menganjurkan	men @@anjur @@kan
terlarang	ter @@larang
memusyawarahkannya	men @@musyawarah @@kan @@nya
rodanya	roda @@nya
bersandarkan	ber @@sandar @@kan
lestari	lestari
bebasnya	bebas @@nya
diperbaharui	di @@per @@baharu @@i
pemeta	pen @@peta
wiraswasta	wiraswasta
menumpahkan	men @@tumpah @@kan
longgar	longgar
dilibatkannya	di @@libat @@kan @@nya
keturunanmu	ke @@turun @@an @@mu
ditempat	di @@tempat
sekerja	se @@kerja
bobotnya	bobot @@nya
akademis	akademis
aslinya	asli @@nya
pemanfaatnya	pen @@manfaat @@nya
ditimbulkannya	di @@timbul @@kan @@nya
daftarkan	daftar @@kan
dihimpun	di @@himpun
kesempatannya	kesempatan @@nya
pelanggarannya	pen @@langgar @@an @@nya
termin	ter @@min
kendala	kendala
idenya	ide @@nya
indonesia	indonesia
menjejak	men @@jejak
berlantai	ber @@lantai
lembab	lembab
memprakarsai	men @@prakarsa @@i
dilanggar	di @@langgar
inovatif	inovatif
institusional	institusional
dini	din @@i
jawabnya	jawab @@nya
menepati	men @@tepat @@i
kotorannya	kotor @@an @@nya
bakaran	bakar @@an
terhubung	ter @@hubung
kejadian	ke @@jadi @@an
menghilang	men @@hilang
wasitnya	wasit @@nya
harfiah	harfiah
menata	men @@tata
dikirim	di @@kirim
calon	calon
memberontak	men @@berontak
pembayaran	pen @@bayar @@an
tanyakan	tanya @@kan
melemah	men @@lemah
pengaruhnya	pengaruh @@nya
tabrakan	tabrak @@an
jemaat	jemaat
takutkan	takut @@kan
menyapu	men @@sapu
pemberontak	pen @@berontak
mengkombinasikan	men @@kombinasi @@kan
sikap	sikap
cobaan	coba @@an
penyuling	pen @@suling
difoto	di @@foto
disiplin	disiplin
memulangkan	men @@pulang @@kan
bibir	bibir
lambat	lambat
lobang	lobang
mengganggunya	men @@ganggu @@nya
teringat	ter @@ingat
dipengaruhi	di @@pengaruh @@i
paduan	padu @@an
dipantau	di @@pantau
memperkenalkan	men @@kenal @@kan
pesertanya	peserta @@nya
penyebutan	pen @@sebut @@an
kolega	kolega
diterbitkannya	di @@terbit @@kan @@nya
tangguh	tangguh
pemicu	pen @@picu
mencetak	men @@cetak
meningkatnya	men @@tingkat @@nya
pengusung	pen @@usung
mekanisme	mekanisme
menendang	men @@tendang
kutempuh	ku @@tempuh
dihubungkan	di @@hubung @@kan
miliarder	miliarder
tembus	tembus
penjelas	pen @@jelas
ditekan	di @@tekan
dinegosiasikan	di @@negosiasi @@kan
kerinduan	ke @@rindu @@an
ciri	ciri
dukanya	duka @@nya
obyeknya	obyek @@nya
bersiap	ber @@siap
antarpeserta	antar @@peserta
syair	syair
laksana	laksana
komitmen	komitmen
hamil	hamil
membayangkan	men @@bayang @@kan
pisau	pisau
mahabintangnya	mahabintang @@nya
dihadiri	di @@hadir @@i
pemadaman	pen @@madam @@an
situ	situ
kelihatannya	ke @@lihat @@an @@nya
mentargetkan	men @@target @@kan
disambut	di @@sambut
merealisasikannya	men @@realisasi @@kan @@nya
menyedihkan	men @@sedih @@kan
botol	botol
eternitnya	eternit @@nya
takjub	takjub
komersial	komersial
pertokoan	per @@toko @@an
serangkaian	se @@rangkaian
mobil	mobil
perenungannya	pen @@renung @@an @@nya
diuntungkan	di @@untung @@kan
musuhnya	musuh @@nya
mengomentari	men @@komentar @@i
laptop	laptop
gerai	gerai
diobservasi	di @@observasi
konsultasi	konsultasi
tersier	tersier
administrasi	administrasi
kepergianku	ke @@pergi @@an @@ku
sedahsyat	se @@dahsyat
prasangka	prasangka
impiannya	impian @@nya
seadat	se @@adat
akademi	akademi
bernegara	ber @@negara
penyiaran	pen @@siar @@an
afrika	afrika
pembasmi	pen @@basmi
direvisi	di @@revisi
teks	teks
cinta	cinta
citranya	citra @@nya
diserahi	di @@serah @@i
mengangkat	men @@angkat
bertenaga	ber @@tenaga
dinikahkan	di @@nikah @@kan
jatahnya	jatah @@nya
bergelar	ber @@gelar
penularan	pen @@tular @@an
jabodetabek	jabodetabek
mainnya	main @@nya
kufirmankan	ku @@firman @@kan
menyiramnya	men @@siram @@nya
pelaksana	pen @@laksana
syairnya	syair @@nya
ketuanya	ketua @@nya
merek	merek
menyandarkan	men @@sandar @@kan
berulang	ber @@ulang
kerabatnya	kerabat @@nya
domba	domba
dituduh	di @@tuduh
bunuh	bunuh
melawannya	men @@lawan @@nya
hasil	hasil
coklat	coklat
bersih	bersih
berbuat	ber @@buat
ketidaktepatan	ke @@tidak @@tepat @@an
bedanya	beda @@nya
terbangnya	terbang @@nya
bertubuh	ber @@tubuh
kotanya	kota @@nya
iman	iman
penyumbang	pen @@sumbang
ibu	ibu
pemberian	pen @@beri @@an
lintas	lintas
relasinya	relasi @@nya
menitip	men @@titip
mengungsi	men @@ungsi
lentur	lentur
menanggapinya	men @@tanggap @@i @@nya
penyusunan	pen @@susun @@an
arang	arang
pewahyuan	pen @@wahyu @@an
menggemparkan	men @@gempar @@kan
bekasi	bekas @@i
perekonomiannya	per @@ekonomi @@an @@nya
mencapainya	men @@capai @@nya
mengarahkanku	men @@arah @@kan @@ku
antarklub	antar @@klub
didengarkan	di @@dengar @@kan
diambilnya	di @@ambil @@nya
suksesnya	sukses @@nya
dimintai	di @@minta @@i
nya	nya
diperanakkan	di @@per @@anak @@kan
definisinya	definisi @@nya
menggembala	men @@gembala
meratanya	men @@rata @@nya
pembenahan	pen @@benah @@an
ramping	ramping
menghilangnya	men @@hilang @@nya
gerutu	gerutu
cermin	cermin
dibedakan	di @@beda @@kan
dikritik	di @@kritik
berganti	ber @@ganti
menginterpretasikannya	men @@interpretasi @@kan @@nya
memperbolehkan	men @@boleh @@kan
berpuasa	ber @@puasa
dipasang	di @@pasang
dosennya	dosen @@nya
skemanya	skema @@nya
berjumpa	ber @@jumpa
klarifikasi	klarifikasi
sepihak	se @@pihak
antarbadan	antar @@badan
pangsa	pangsa
memaparkan	men @@papar @@kan
benci	benci
mencurigai	men @@curiga @@i
pulih	pulih
disetor	di @@setor
didiagnosa	di @@diagnosa
penindakan	pen @@tindak @@an
bertempur	ber @@tempur
disalahkan	di @@salah @@kan
ketidakpuasannya	ke @@tidak @@puas @@an @@nya
jabatan	jabat @@an
kabul	kabul
game	game
laparnya	lapar @@nya
merekonstruksi	men @@rekonstruksi
pendistribusi	pen @@distribusi
dibayarkan	di @@bayar @@kan
tahan	tahan
melaporkan	men @@lapor @@kan
sidik	sidik
pungutan	pungut @@an
panggung	panggung
halus	halus
ganjil	ganjil
pengamatan	pengamat @@an
memberantas	men @@berantas
audit	audit
dikendalikan	di @@kendali @@kan
lancarnya	lancar @@nya
menyertifikasi	men @@sertifikasi
biji	biji
pengorbanan	pen @@korban @@an
terisolasi	ter @@isolasi
mengendalikan	men @@kendali @@kan
memulihkannya	men @@pulih @@kan @@nya
pengeluaran	pen @@keluar @@an
sepatah	se @@patah
fleksibilitas	fleksibilitas
disepelekan	di @@sepele @@kan
mereda	men @@reda
pikiran	pikir @@an
jeruknya	jeruk @@nya
kerasukan	ke @@rasuk @@an
protein	protein
menggantung	men @@gantung
terdalam	ter @@dalam
menggadaikan	men @@gadai @@kan
tulisannya	tulis @@an @@nya
menyadarkan	men @@sadar @@kan
visinya	visi @@nya
listrik	listrik
melenyapkan	men @@lenyap @@kan
paket	paket
kapnya	kap @@nya
mendapatinya	men @@dapat @@i @@nya
tertimpa	ter @@timpa
palsu	palsu
konsisten	konsisten
umatnya	umat @@nya
janggal	janggal
bimbingan	bimbing @@an
diambilkan	di @@ambil @@kan
penuh	penuh
juruselamatnya	juruselamat @@nya
organisasi	organisasi
persediaan	per @@sedia @@an
melangsungkan	men @@langsung @@kan
ditabrak	di @@tabrak
diberikan	di @@beri @@kan
aktual	aktual
