bermimpi	ber mimpi
pengasapan	pen asap an
jiwa	jiwa
klorofilnya	klorofil nya
menaklukkan	men takluk kan
repotnya	repot nya
tunggakan	tunggak an
peminjamannya	pen pinjam an nya
usia	usia
meledak	men ledak
penandatangan	pen tandatangan
takutkan	takut kan
pelintasan	pen lintas an
panik	panik
afiliasi	afiliasi
dihuni	di huni
diunduh	di unduh
dibina	di bina
bermerek	ber merek
habis	habis
tulang	tulang
ekonom	ekonom
konsultan	konsultan
kain	kain
kira	kira
rak	rak
potret	potret
godaan	goda an
berpikirnya	ber pikir nya
membodohi	men bodoh i
menyibukkan	men sibuk kan
sepucuk	se pucuk
menerjang	men terjang
gilirannya	gilir an nya
pelupa	pen lupa
koreksi	koreksi
dibangunnya	di bangun nya
berkendaraan	ber kendara an
ditunjukan	di tunjuk an
komputerisasi	komputerisasi
ketahanan	ke tahan an
kolonial	kolonial
mendanai	men dana i
merubah	men rubah
penghujat	pen hujat
sarananya	sarana nya
menggerutu	men gerutu
berujung	ber ujung
motonya	moto nya
terlampau	ter lampau
terdalam	ter dalam
isu	isu
terpakai	ter pakai
girangnya	girang nya
sebaiknya	se baik nya
ketidaktersediaan	ke tidak tersedia an
penyebutan	pen sebut an
penerangan	pen terang an
diikat	di ikat
termutakhir	ter mutakhir
anggotanya	anggota nya
penakut	pen takut
kode	kode
direkapitulasi	di rekapitulasi
memegang	men pegang
ditelepon	di telepon
komplikasi	komplikasi
dikalahkan	di kalah kan
koordinator	koordinator
tembaga	tembaga
terapkan	terap kan
bermacam	ber macam
sukacitanya	sukacita nya
penderitaannya	pen derita an nya
tersisih	ter sisih
nonperdagangan	non per dagang an
diprovokasi	di provokasi
merenung	men renung
berlimpah	ber limpah
stiker	stiker
penimbunan	pen timbun an
mendatanginya	men datang i nya
dicoret	di coret
menunduk	men tunduk
perkebunan	per kebun an
bayar	bayar
dibutakan	di buta kan
cirinya	ciri nya
dipercayai	di percaya i
melemparkan	men lempar kan
peka	peka
ekstra	ekstra
kontraktornya	kontraktor nya
dipersalahkan	di per salah kan
antri	antri
menghapuskan	men hapus kan
anggarannya	anggar an nya
pejabatnya	pejabat nya
kadaluarsa	kadaluarsa
celah	celah
pembaca	pen baca
rumah	rumah
semacamnya	se macam nya
mendata	men data
melayu	melayu
mengetahuinya	men ketahui nya
diperingkat	di peringkat
antarvariabel	antar variabel
ruang	ruang
membengkak	men bengkak
mendefinisikannya	men definisi kan nya
semang	semang
studi	studi
kemarin	kemarin
cakupannya	cakup an nya
turnamen	turnamen
berwilayah	ber wilayah
indikasinya	indikasi nya
menanamkan	men tanam kan
tertular	ter tular
tantangan	tantang an
pelabuhan	pen labuh an
dipedulikan	di peduli kan
mengoyakkan	men koyak kan
pendekatan	pen dekat an
logika	logika
konsisten	konsisten
bijih	bijih
selamat	selamat
faktanya	fakta nya
meresponnya	men respon nya
kusebut	ku sebut
dibungakan	di bunga kan
mengeluh	men keluh
ratapan	ratap an
sel	sel
tertimpa	ter timpa
meningkatkan	men tingkat kan
produktivitas	produktivitas
makro	makro
terkunci	ter kunci
dikerjasamakan	di kerjasama kan
dikenai	di kena i
tercela	ter cela
ukiran	ukir an
perekonomian	per ekonomi an
tercetak	ter cetak
gumuli	gumul i
implementasi	implementasi
didiktekan	di dikte kan
negara	negara
figur	figur
dokternya	dokter nya
semangatnya	semangat nya
bercacat	ber cacat
salam	salam
orangtuanya	orangtua nya
bunga	bunga
mengorbankan	men korban kan
membimbingnya	men bimbing nya
menayangkan	men tayang kan
udang	udang
saksikan	saksi kan
pastikan	pasti kan
imanmu	iman mu
pabrik	pabrik
kalkulasi	kalkulasi
pelajari	pelajar i
putrinya	putri nya
dosen	dosen
prestasinya	prestasi nya
memperjelas	men jelas
budaknya	budak nya
pengobatan	pen obat an
salju	salju
wakili	wakil i
dilantunkan	di lantun kan
langkahnya	langkah nya
bergema	ber gema
anggap	anggap
batinnya	batin nya
lebaran	lebar an
berlumur	ber lumur
mempersingkat	men singkat
kabupaten	kabupaten
kelompok	kelompok
famili	famili
tol	tol
penurunan	pen turun an
tersulit	ter sulit
penyelamatan	pen selamat an
buaian	buai an
santunan	santun an
pelataran	pen latar an
puskesmasnya	puskesmas nya
bapak	bapak
sekerja	se kerja
eksternal	eksternal
mandi	mandi
mengerti	mengerti
mengacuhkan	men acuh kan
bi	bi
disabotase	di sabotase
anggapan	anggap an
acuan	acu an
terparah	ter parah
komplain	komplain
menara	menara
didokumentasikan	di dokumentasi kan
hapuskan	hapus kan
diverifikasi	di verifikasi
seyakin	se yakin
payudara	payudara
praktis	praktis
pengadu	pen adu
penolakan	pen tolak an
mengesampingkan	men kesamping kan
tuhan	tuhan
perahunya	perahu nya
diabaikan	di abai kan
kepercayaannya	ke percaya an nya
membuktikan	men bukti kan
kecap	kecap
berawal	ber awal
persegi	persegi
mensahkan	men sah kan
terkubur	ter kubur
memacunya	men pacu nya
rona	rona
malaikat	malaikat
menyeragamkan	men seragam kan
perang	perang
budaya	budaya
permanen	permanen
terorisme	terorisme
pembayarannya	pen bayar an nya
bilangan	bilang an
didambakannya	di damba kan nya
monumen	monumen
memelihara	men pelihara
misalnya	misal nya
didekati	di dekat i
mengulangi	men ulang i
untungnya	untung nya
mendapatinya	men dapat i nya
angsuran	angsur an
penjahitan	pen jahit an
remeh	remeh
telaknya	telak nya
meletusnya	men letus nya
mengartikan	men arti kan
terkagum	ter kagum
memperebutkan	men rebut kan
degradasi	degradasi
pelaksanaan	pen laksana an
pengunjung	pen kunjung
bermurah	ber murah
meratapinya	men ratap i nya
penjamin	pen jamin
bawang	bawang
penuntasan	pen tuntas an
peredaran	per edar an
seumpama	se umpama
dosennya	dosen nya
lambatnya	lambat nya
batuan	batu an
mengikuti	men ikut i
berkala	ber kala
tampaknya	tampak nya
budayanya	budaya nya
pemula	pen mula
dikoleksi	di koleksi
atap	atap
dijanjikan	di janji kan
berani	berani
bapanya	bapa nya
memberitahu	men beritahu
segel	segel
liburan	libur an
pembuatnya	pen buat nya
menyelesaikannya	men selesai kan nya
babak	babak
pembimbing	pen bimbing
realokasi	realokasi
menghantam	men hantam
berujar	ber ujar
menaruhnya	men taruh nya
sadari	sadar i
suram	suram
tampungnya	tampung nya
separuhnya	se paruh nya
rumusan	rumus an
menyasar	men sasar
fosil	fosil
juri	juri
kuat	kuat
memotret	men potret
terarah	ter arah
disetorkan	di setor kan
membekas	men bekas
sensitif	sensitif
harga	harga
penunjukan	pen tunjuk an
karunnya	karun nya
terpesona	ter pesona
mendekat	men dekat
disamakan	di sama kan
berterus	ber terus
jumpa	jumpa
masukan	masuk an
antardusun	antar dusun
dicurangi	di curang i
menyibak	men sibak
bergilir	ber gilir
pelik	pelik
diawali	di awal i
pembahas	pen bahas
alumninya	alumni nya
meluruskannya	men lurus kan nya
menyebabkannya	men sebab kan nya
berdiam	ber diam
mempertaruhkan	men taruh kan
terucap	ter ucap
menuntut	men tuntut
buruk	buruk
menyadari	men sadar i
mental	mental
divalidasi	di validasi
mengaudit	men audit
hawa	hawa
menginterpretasikannya	men interpretasi kan nya
rinci	rinci
memukau	men pukau
pencoretan	pen coret an
huruf	huruf
penyelesaian	pen selesai an
meneruskan	men terus kan
bertetangga	ber tetangga
penjelajahan	pen jelajah an
metode	metode
area	area
perkoperasian	per koperasi an
jati	jati
daftar	daftar
perhitungan	per hitung an
ditata	di tata
pemanfaat	pen manfaat
kristus	kristus
melanggengkannya	men langgeng kan nya
penyambutan	pen sambut an
melanggankan	men langgan kan
meminum	men minum
tertahan	ter tahan
otomatis	otomatis
cermin	cermin
selepas	se lepas
digigit	di gigit
jerman	jerman
diperkenan	di per kenan
pemantauannya	pen pantau an nya
hatimu	hati mu
paham	paham
departemen	departemen
absensi	absensi
bergeser	ber geser
kliring	kliring
membikin	men bikin
berdalih	ber dalih
menjelekkan	men jelek kan
pengiriman	pen kirim an
susu	susu
dihina	di hina
dipenuhi	di penuh i
dilatihnya	di latih nya
peristiwa	peristiwa
perlindungan	per lindung an
menantikan	menanti kan
digarap	di garap
menelepon	men telepon
pergerakan	per gerak an
sumbernya	sumber nya
bebasnya	bebas nya
tanggungjawab	tanggungjawab
santapan	santap an
simak	simak
wirausaha	wirausaha
gila	gila
kriteria	kriteria
ibadah	ibadah
sampah	sampah
sutradara	sutradara
terlaksana	ter laksana
motornya	motor nya
halnya	hal nya
memperketat	men ketat
dibuka	di buka
tertanam	ter tanam
bulan	bulan
didaftar	di daftar
sedihnya	sedih nya
untung	untung
mempersiapkan	men siap kan
dileskan	di les kan
bersifat	ber sifat
partikel	partikel
tersaji	ter saji
eternitnya	eternit nya
dibawahinya	di bawah i nya
kukatakan	ku kata kan
gelandang	gelandang
manfaat	manfaat
mainanmu	main an mu
diusung	di usung
lipat	lipat
dimutakhirkan	di mutakhir kan
menjauh	men jauh
pembiayaan	pen biaya an
karyawannya	karya wan nya
bermerk	ber merk
menyelamatkannya	men selamat kan nya
bergereja	ber gereja
diremajakan	di remaja kan
triwulanannya	triwulan an nya
pengkaji	pen kaji
ketidakharmonisan	ke tidak harmonis an
diasuransikan	di asuransi kan
diperbarui	di per baru i
pembawa	pen bawa
jenewa	jenewa
mengadukan	men adu kan
musuhnya	musuh nya
pembangkit	pen bangkit
warganegaranya	warganegara nya
bentukan	bentuk an
ditontonnya	di tonton nya
dipikat	di pikat
rekonstruksinya	rekonstruksi nya
bermotor	ber motor
cina	cina
mengakibatkan	men akibat kan
mengaburkan	men kabur kan
mendisiplinkan	men disiplin kan
pengabdian	pen abdi an
berlantai	ber lantai
kaum	kaum
dikaruniakan	di karunia kan
kutukan	kutuk an
mengesahkan	men sah kan
terkandung	ter kandung
membayarnya	men bayar nya
hutang	hutang
lurus	lurus
panenan	panen an
dikuburkan	di kubur kan
prostat	prostat
ditelusuri	di telusuri
tarif	tarif
grup	grup
mengusulkan	men usul kan
diberikan	di beri kan
pengestimasian	pen estimasi an
auman	aum an
mengiring	men iring
ofensif	ofensif
kawanan	kawan an
terbaik	ter baik
bertumpu	ber tumpu
nonmuslim	nonmuslim
pria	pria
perbendaharaannya	per bendahara an nya
terlintas	ter lintas
gunanya	guna nya
memaksimalkan	men maksimal kan
mendermakan	men derma kan
operator	operator
diubahnya	di ubah nya
berwewenang	ber wewenang
tindakan	tindak an
diderita	di derita
tersegmentasi	ter segmentasi
jumat	jumat
mesra	mesra
ungkapan	ungkap an
menyalurkan	men salur kan
didiknya	didik nya
meteran	meter an
diakomodasi	di akomodasi
mengoper	men koper
minuman	minum an
peserta	peserta
diairi	di air i
mendiktekan	men dikte kan
berlandaskan	ber landas kan
perilaku	perilaku
dingin	dingin
perkenalan	per kenal an
traktor	traktor
hal	hal
gejalanya	gejala nya
mertua	mertua
bayi	bayi
dakwaan	dakwa an
tipis	tipis
terwujudnya	ter wujud nya
hadapanku	hadap an ku
tercapai	ter capai
kalangan	kalangan
pelayaran	pen layar an
dikoreksi	di koreksi
artian	arti an
percekcokan	per cekcok an
mengkonsultasikan	men konsultasi kan
terpuruknya	ter puruk nya
konsultasi	konsultasi
daratan	darat an
mengentaskan	men entas kan
telinga	telinga
derajat	derajat
menyampaikan	men sampai kan
bertolak	ber tolak
merata	men rata
menyanyi	men nyanyi
selebar	se lebar
memberhentikan	men ber henti kan
menangis	men tangis
penggenapannya	pen genap an nya
terbebas	ter bebas
melayang	men layang
kandungan	kandung an
aktivitasnya	aktivitas nya
tumbuhnya	tumbuh nya
penggemar	pen gemar
diupayakan	di upaya kan
dicurahkannya	di curah kan nya
setangkai	se tangkai
legislasi	legislasi
akbar	akbar
kategorisasi	kategorisasi
kepala	kepala
yusuf	yusuf
waris	waris
penulis	pen tulis
penentuan	pen tentu an
kepemimpinannya	kepemimpinan nya
tahun	tahun
kayu	kayu
arkeologi	arkeologi
didiskualifikasi	di diskualifikasi
penajaman	pen tajam an
pembelanjaan	pen belanja an
kandidat	kandidat
perhotelan	per hotel an
difoto	di foto
memaknai	men makna i
menggagas	men gagas
peti	peti
gandum	gandum
simpulkan	simpul kan
terselami	ter selam i
mainkan	main kan
dijaminkan	di jamin kan
besarannya	besar an nya
marak	marak
memadai	memadai
reaksi	reaksi
pengikut	pen ikut
antarlingkungan	antar lingkung an
domisili	domisili
terlatih	ter latih
berpengaruh	ber pengaruh
menyalahgunakannya	men salahguna kan nya
memperingati	men ingat i
sulit	sulit
benaknya	benak nya
sebesar	se besar
ganjaran	ganjar an
terbesar	ter besar
pemisah	pen pisah
direktorat	direktorat
memutuskan	men putus kan
ketidakseriusan	ke tidak serius an
ditahun	di tahun
berhenti	ber henti
bobotnya	bobot nya
jurnal	jurnal
jadikan	jadi kan
merpati	merpati
vaksin	vaksin
ukuran	ukur an
menulisnya	men tulis nya
dihadapkan	di hadap kan
berbisnis	ber bisnis
penjaja	pen jaja
kemas	kemas
mandinya	mandi nya
perancangan	pen rancang an
menuturkan	men tutur kan
dididik	di didik
dangkal	dangkal
bencana	bencana
rekaman	rekam an
dermawan	derma wan
perbantahan	per bantah an
membanjiri	men banjir i
listriknya	listrik nya
album	album
rangka	rangka
teriakku	teriak ku
doakan	doa kan
terkoordinasi	ter koordinasi
relaksasi	relaksasi
mengurus	men urus
membuangnya	men buang nya
peningkatannya	pen tingkat an nya
dokumentasi	dokumentasi
jengkel	jengkel
validasi	validasi
olokan	olok an
grosir	grosir
suaraku	suara aku
luput	luput
antarlembaga	antar lembaga
jaminan	jamin an
nuklir	nuklir
memandikan	men mandi kan
hidung	hidung
geluti	gelut i
sup	sup
mahabintangnya	mahabintang nya
penyiapan	pen siap an
melandasi	men landas i
pewawancara	pen wawancara
balasannya	balas an nya
komite	komite
mencobanya	men coba nya
mengalahkan	men kalah kan
pembicara	pen bicara
disesuaikan	di sesuai kan
menjelaskan	men jelas kan
beranggota	ber anggota
merekomendasikan	men rekomendasi kan
pembatalannya	pen batal an nya
seharga	se harga
kakek	kakek
direkomendasikan	di rekomendasi kan
pembiusan	pen bius an
menyapanya	men sapa nya
perampingan	pen ramping an
penghilangan	pen hilang an
gedung	gedung
persepsi	persepsi
menuduhnya	men tuduh nya
takaran	takar an
restrukturisasi	restrukturisasi
siswa	siswa
ditunjang	di tunjang
rontokan	rontok an
oposisi	oposisi
penggenapan	pen genap an
keturunanmu	ke turun an mu
rencana	rencana
mencari	men cari
diperoleh	di peroleh
keberangkatan	ke berangkat an
melekat	men lekat
keringnya	kering nya
diblokir	di blokir
diterlantarkan	di terlantar kan
lingkungan	lingkung an
mengerikan	men ngeri kan
terciptanya	ter cipta nya
pengeluarannya	pen keluar an nya
juruselamatnya	juruselamat nya
bebanmu	beban mu
dinegosiasikan	di negosiasi kan
reuni	reuni
canggung	canggung
pencetus	pen cetus
direkrutnya	di rekrut nya
menyelam	men selam
adidaya	adidaya
lirik	lirik
kawal	kawal
pendarahan	pen darah an
perencana	pen rencana
sesaat	se saat
deregulasi	deregulasi
sekretaris	sekretaris
bertingkat	ber tingkat
memilah	men pilah
dijembatani	di jembatan i
berpulangnya	ber pulang nya
dikejar	di kejar
lobi	lobi
tergolong	ter golong
penyiangan	pen siang an
jangkauannya	jangkau an nya
pembatas	pen batas
berduka	ber duka
menghalangi	men halang i
beralkohol	ber alkohol
nonsaham	non saham
mentimun	mentimun
halamannya	halaman nya
sepakbola	sepakbola
antariksa	antariksa
memeriksakan	men periksa kan
latarbelakang	latarbelakang
bertindak	ber tindak
definisinya	definisi nya
ringkasannya	ringkas an nya
dicacah	di cacah
permasyarakatan	per masyarakat an
saudaraku	saudara aku
pengaturannya	pen atur an nya
mempersoalkannya	men soal kan nya
menebang	men tebang
budimu	budi mu
gantinya	ganti nya
komandan	komandan
diaudit	di audit
berpenghuni	ber pen huni
dibatasi	di batas i
lelaki	lelaki
tehnya	teh nya
terpanggil	ter panggil
pandangannya	pandang an nya
berlaga	ber laga
pasiennya	pasien nya
terbitan	terbit an
memperbesar	men besar
tunjukkan	tunjuk kan
tanahnya	tanah nya
sempitnya	sempit nya
kontroversial	kontroversial
busana	busana
mengikat	men ikat
pertandingan	per tanding an
bersikap	ber sikap
nonteknis	nonteknis
tercium	ter cium
luasan	luas an
pindah	pindah
pas	pas
mendorong	men dorong
fakir	fakir
ongkosnya	ongkos nya
musik	musik
gelarnya	gelar nya
mengembalikannya	men kembali kan nya
membaiknya	men baik nya
tersihir	ter sihir
diambilkan	di ambil kan
dibuatkannya	di buat kan nya
pertalian	per tali an
kaya	kaya
meneruskannya	men terus kan nya
bom	bom
sabar	sabar
diusir	di usir
ketidakikutsertaan	ke tidak ikutserta an
statis	statis
wewenangnya	wewenang nya
berkuasa	ber kuasa
medisnya	medis nya
resep	resep
mendakwa	men dakwa
menembak	men tembak
menggenangi	men genang i
antarpemilik	antar pen milik
ditepatinya	di tepat i nya
antargenerasi	antar generasi
rahim	rahim
gemuruhnya	gemuruh nya
berdamai	ber damai
peningkatan	pen tingkat an
gardu	gardu
relatifnya	relatif nya
menyebrangi	men sebrang i
diteliti	di teliti
perekonomiannya	per ekonomi an nya
realisasi	realisasi
titik	titik
tiruan	tiru an
mengedit	men edit
kotamadya	kotamadya
praktek	praktek
cokelat	cokelat
merangkul	men rangkul
biji	biji
bersalju	ber salju
penerjemahan	pen terjemah an
segar	segar
terguncang	ter guncang
akad	akad
tertawa	ter tawa
mencukur	men cukur
antikomunis	anti komunis
mengejeknya	men ejek nya
kukasihi	ku kasih i
diulas	di ulas
harum	harum
berintensitas	ber intensitas
melemparinya	men lempar i nya
jurusan	jurus an
meledakkan	men ledak kan
pendisiplinan	pen disiplin an
berkhotbah	ber khotbah
terbaring	ter baring
akte	akte
tembus	tembus
menjunjung	men junjung
muridnya	murid nya
pengendalian	pen kendali an
tangkapan	tangkap an
mengangkatnya	men angkat nya
ketidakterbukaan	ke tidak terbuka an
penyelenggaraannya	pen selenggara an nya
membungkam	men bungkam
mengeringkan	men kering kan
bertanya	ber tanya
diajukannya	di aju kan nya
menakjubkan	men takjub kan
mengirimnya	men kirim nya
alarm	alarm
regulasi	regulasi
menggandeng	men gandeng
menabrakkannya	men tabrak kan nya
kumpulkan	kumpul kan
penginjil	pen injil
pengantarnya	pen antar nya
skor	skor
terorganisir	ter organisir
mengintegrasikan	men integrasi kan
stakeholder	stakeholder
mengarah	men arah
dibilang	di bilang
pertimbangannya	per timbang an nya
perenungannya	pen renung an nya
berbohong	ber bohong
bermartabat	ber martabat
literatur	literatur
ditimbulkan	di timbul kan
akademik	akademik
aman	aman
menuju	men tuju
orde	orde
terpercaya	ter percaya
gizinya	gizi nya
apatis	apatis
pembatasan	pen batas an
lapar	lapar
tambang	tambang
riil	riil
jatuh	jatuh
dikte	dikte
rombongan	rombong an
percayakan	percaya kan
adakan	ada kan
terselenggaranya	ter selenggara nya
tertumpuk	ter tumpuk
dibenarkan	di benar kan
khayalan	khayal an
dikerahkan	di kerah kan
berinduk	ber induk
pemanfaatan	pen manfaat an
antarsektor	antar sektor
bergengsi	ber gengsi
pembukuannya	pen buku an nya
desain	desain
selayaknya	se layak nya
aksara	aksara
amandemen	amandemen
bakti	bakti
mendinginkan	men dingin kan
bergantung	ber gantung
membeberkan	men beber kan
aplikasi	aplikasi
mengeruk	men keruk
konstitusional	konstitusional
dipersiapkan	di per siap kan
enaknya	enak nya
dimenangkan	di menang kan
bekerja	bekerja
penerbitan	pen terbit an
dibangun	di bangun
dikuatirkan	di kuatir kan
terhubungi	ter hubung i
ajaranmu	ajar an mu
melaporkannya	men lapor kan nya
meresahkan	men resah kan
cadangannya	cadang an nya
mengaktifkan	men aktif kan
terulang	ter ulang
mendiskusikan	men diskusi kan
pasta	pasta
temanku	teman ku
terinspirasi	ter inspirasi
siklus	siklus
menyembuhkan	men sembuh kan
pengajarannya	pen ajar an nya
berkampanye	ber kampanye
smp	smp
dilandasi	di landas i
as	as
abad	abad
dihadiri	di hadir i
memekakkan	men pekak kan
lkm	lkm
kabar	kabar
tersingkap	ter singkap
tuamu	tua mu
terkepung	ter kepung
pesona	pesona
pemberitahuannya	pen beritahu an nya
mediasi	mediasi
ringkas	ringkas
mencemari	men cemar i
sanjungan	sanjung an
kehendak	kehendak
transaksinya	transaksi nya
visi	visi
lilin	lilin
ikatan	ikat an
bersintesis	ber sintesis
biolanya	biola nya
ginjal	ginjal
menumbuhkannya	men tumbuh kan nya
urusanku	urus an ku
seenaknya	se enak nya
memantaunya	men pantau nya
penginjilannya	pen injil an nya
fasilitasi	fasilitas i
kaca	kaca
menyebutkan	men sebut kan
internet	internet
dikonsultasikan	di konsultasi kan
suntik	suntik
potensial	potensial
ada	ada
cangkul	cangkul
bukti	bukti
mencela	men cela
damai	damai
curiga	curiga
klinik	klinik
menggagalkan	men gagal kan
disiapkannya	di siap kan nya
antarklub	antar klub
berhiaskan	ber hias kan
suruh	suruh
efektivitas	efektivitas
pendukungnya	pen dukung nya
direka	di reka
upahan	upah an
ketidakpedulian	ke tidak peduli an
pelunasan	pen lunas an
bawa	bawa
mengarahkannya	men arah kan nya
mengalirnya	men alir nya
mudanya	muda nya
membentang	men bentang
berniat	ber niat
pengampunan	pen ampun an
tuntut	tuntut
keju	keju
memicu	men picu
salehnya	saleh nya
stabilitas	stabilitas
tertolong	ter tolong
dijadwalkan	di jadwal kan
pemajuan	pen maju an
membatalkan	men batal kan
rasial	rasial
kemasan	kemas an
mencicipi	men cicip i
dituakan	di tua kan
rencananya	rencana nya
gizi	gizi
menggantikan	men ganti kan
berterimakasih	ber terimakasih
bergulingan	ber guling an
berlalunya	ber lalu nya
berjarak	ber jarak
nonpertaniannya	non per tani an nya
gilir	gilir
dimotori	di motor i
jenjang	jenjang
penjelasan	pen jelas an
penonton	pen tonton
menyusut	men susut
dikontrakkan	di kontrak kan
direalisasikan	di realisasi kan
pernyataan	per nyata an
matriks	matriks
penyeludup	pen seludup
memantulkan	men pantul kan
pola	pola
cerdik	cerdik
sasaran	sasar an
persampahan	per sampah an
audio	audio
penggundulan	pen gundul an
sampingnya	samping nya
membahas	men bahas
penanggulangannya	pen tanggulang an nya
pencatat	pen catat
mengklarifikasi	men klarifikasi
jaya	jaya
sederajat	se derajat
persembunyiannya	per sembunyi an nya
melancarkan	men lancar kan
kunjungannya	kunjung an nya
dipajang	di pajang
tenda	tenda
perdananya	perdana nya
pendalaman	pen dalam an
diintegrasikan	di integrasi kan
menggosok	men gosok
kemajuan	ke maju an
ternama	ter nama
peregangan	pen regang an
bertambah	ber tambah
meksiko	meksiko
tercoreng	ter coreng
psikologis	psikologis
beroperasi	ber operasi
alih	alih
preminya	premi nya
pemeluk	pen peluk
situsnya	situs nya
lisan	lisan
ditinggikan	di tinggi kan
terpanjang	ter panjang
nya	nya
kuantitas	kuantitas
gran	gr an
ketinggalan	ke tinggal an
hadirat	hadirat
hambaku	hamba aku
tetangganya	tetangga nya
berorang	ber orang
administrasi	administrasi
pungutannya	pungut an nya
dedikasi	dedikasi
iklim	iklim
sepoi	sepoi
persemaian	per semai an
penyimpanan	pen simpan an
mengintervensi	men intervensi
top	top
mencantumkan	men cantum kan
ditulis	di tulis
medalinya	medali nya
membidik	men bidik
diamati	di amati
gilanya	gila nya
tanyakan	tanya kan
mengimpor	men impor
ditegaskan	di tegas kan
penjelajah	pen jelajah
makna	makna
ayu	ayu
penyegelan	pen segel an
sedekah	sedekah
dibawanya	di bawa nya
pengasinan	pen asin an
otoritas	otoritas
semudah	se mudah
swedia	swedia
terkonsentrasi	ter konsentrasi
meninjunya	men tinju nya
pengimplementasian	pen implementasi an
tetapkan	tetap kan
termulia	ter mulia
ditampung	di tampung
berakting	ber akting
otomotif	otomotif
kutub	kutub
perhatian	per hati an
bercermin	ber cermin
penganiayaan	pen aniaya an
ditanami	di tanam i
diiringi	di iring i
dibantu	di bantu
penempatan	pen tempat an
belajar	belajar
artis	artis
bersinggungan	ber singgung an
memastikan	men pasti kan
berdiskusi	ber diskusi
mengendurkan	men kendur kan
bahagiaku	bahagia aku
ditekuni	di tekun i
semut	semut
pengikat	pen ikat
jurus	jurus
kelelawar	kelelawar
berdana	ber dana
tersentak	ter sentak
pemerintahnya	pen perintah nya
laptop	laptop
mengikutsertakan	men ikutserta kan
menyanyikan	men nyanyi kan
obatnya	obat nya
khotbahnya	khotbah nya
persimpangan	per simpang an
mengira	men kira
pengkoordinasian	pen koordinasi an
tahapan	tahap an
penyaluran	pen salur an
rusak	rusak
antardesanya	antar desa nya
didatangi	di datang i
ditanggung	di tanggung
pigmen	pigmen
penggandaan	pen ganda an
berpulang	ber pulang
dicicil	di cicil
diperdamaikan	di per damai kan
nonkontrak	non kontrak
bersaksi	ber saksi
kirimu	kiri mu
imajinasi	imajinasi
mutu	mutu
pengecualian	pengecualian
terkurung	ter kurung
seprovinsi	se provinsi
nyawaku	nyawa aku
berliku	ber liku
sabtu	sabtu
membantu	men bantu
kandangnya	kandang nya
perwakilan	per wakil an
realis	realis
penuaan	pen tua an
menanjak	men tanjak
meyakini	men yakin i
armada	armada
perpustakaan	perpustakaan
dipikirkan	di pikir kan
berkulit	ber kulit
kampung	kampung
lensa	lensa
menggunung	men gunung
premi	premi
stoknya	stok nya
mencelakakan	men celaka kan
pelatihan	pen latih an
pengaksesan	pen akses an
sepihak	se pihak
sektor	sektor
spanyol	spanyol
menganiaya	men aniaya
sepenuh	se penuh
pemilih	pen pilih
perlawanan	per lawan an
antarkepala	antar kepala
berjudul	ber judul
jalinan	jalin an
indonesia	indonesia
diadopsi	di adopsi
intervensi	intervensi
modern	modern
pembengkakan	pen bengkak an
bertalian	ber tali an
diperankan	di peran kan
progresif	progresif
dipraktikkan	di praktik kan
menendang	men tendang
macam	macam
tersebar	ter sebar
memotivasi	men motivasi
parkir	parkir
seksual	seksual
pengangkutan	pen angkut an
galak	galak
taiwan	tai wan
merangkum	men rangkum
ambruknya	ambruk nya
memperlebar	men lebar
ambang	ambang
terpolusi	ter polusi
dihanguskan	di hangus kan
jadwalnya	jadwal nya
sedunia	se dunia
darahnya	darah nya
meningkat	men tingkat
tersier	tersier
menolak	men tolak
gerak	gerak
nuansa	nuansa
seminggu	se minggu
bergirang	ber girang
menggembala	men gembala
pisang	pisang
terakhir	ter akhir
pantauan	pantau an
pertanyaan	per tanya an
wajahnya	wajah nya
pewaris	pen waris
tenun	tenun
dibiaya	di biaya
lulusan	lulus an
carinya	cari nya
positif	positif
tandan	tandan
biaya	biaya
disadari	di sadar i
mengharapkannya	men harap kan nya
perdarahan	per darah an
kemarau	kemarau
sosialnya	sosial nya
penggodokan	pen godok an
turunan	turun an
perlombaan	per lomba an
biola	biola
rapi	rapi
cemburu	cemburu
alokasi	alokasi
hilangkan	hilang kan
yunus	yunus
iri	iri
absennya	absen nya
tepuk	tepuk
telepon	telepon
berekspresi	ber ekspresi
uraian	urai an
semprot	semprot
diversifikasi	diversifikasi
asrama	asrama
berpribadi	ber pribadi
pengumpulan	pen kumpul an
mencapai	men capai
longsor	longsor
gamblang	gamblang
sulam	sulam
diakses	di akses
kamera	kamera
sediakan	sedia kan
arus	arus
memanen	men panen
perenungan	pen renung an
paginya	pagi nya
taburkan	tabur kan
tiket	tiket
diragukan	di ragu kan
mengadakan	men ada kan
proyeknya	proyek nya
digabung	di gabung
menyetorkan	men setor kan
memperbarui	men baru i
dieliminasi	di eliminasi
pasokan	pasok an
mencairnya	men cair nya
sebaliknya	sebaliknya
menjabat	men jabat
merubuhkan	men rubuh kan
termuda	ter muda
menggigiti	men gigit i
terbuat	ter buat
bergumul	ber gumul
peranakan	per anak an
terbitkan	terbit kan
desanya	desa nya
bahas	bahas
hartamu	harta mu
pasukannya	pasukan nya
pengaturan	pen atur an
dikelilingi	di keliling i
mencurahkan	men curah kan
mempercayai	men percaya i
halaman	halaman
dikenalnya	di kenal nya
penjala	pen jala
