mengganggu	men ganggu
diikutinya	di ikut i nya
diwajibkan	di wajib kan
menyombongkan	men sombong kan
puji	puji
utusannya	utus an nya
kanada	kanada
mengkomunikasikannya	men komunikasi kan nya
ditanggungnya	di tanggung nya
memuncak	men puncak
mencabutnya	men cabut nya
capaiannya	capai an nya
pengusaha	pen usaha
anakku	anak ku
menyingsingkan	men singsing kan
terpikat	ter pikat
mengumandangkan	men kumandang kan
menghiburku	men hibur ku
bernoda	ber noda
penambah	pen tambah
tombol	tombol
berhubung	ber hubung
klorofilnya	klorofil nya
daud	daud
berharap	ber harap
ketidaksepakatan	ke tidak sepakat an
membuatku	men buat ku
membayar	men bayar
ketidakikutsertaan	ke tidak ikutserta an
soda	soda
peraturannya	per atur an nya
pemakaman	pen makam an
produk	produk
terjun	terjun
pembuktian	pen bukti an
bersaudara	ber saudara
penjaminan	pen jamin an
penghubung	pen hubung
pengubah	pen ubah
membina	men bina
hantam	hantam
pemasyarakatan	pen masyarakat an
kabar	kabar
menonton	men tonton
iringan	iring an
konsisten	konsisten
besarannya	besar an nya
warisnya	waris nya
rasial	rasial
kepalamu	kepala mu
dicontoh	di contoh
dimodifikasi	di modifikasi
perwakilannya	per wakil an nya
pemberantasan	pen berantas an
melimpah	men limpah
penyinaran	pen sinar an
pemilikan	pen milik an
dihanguskan	di hangus kan
menyiratkan	men sirat kan
mengevakuasi	men evakuasi
paruhnya	paruh nya
dll	dll
mengabulkan	men kabul kan
tersier	tersier
korupsi	korupsi
ditolong	di tolong
mengaudit	men audit
menyebutkan	men sebut kan
disalin	di salin
dinamis	dinamis
agungnya	agung nya
diwawancara	di wawancara
intensif	intensif
mengutuknya	men kutuk nya
dipertegas	di per tegas
antusiasmenya	antusiasme nya
surut	surut
bintang	bintang
superior	superior
menatap	men tatap
ternak	ternak
mengapit	men apit
konstitusi	konstitusi
mewah	mewah
penutupnya	pen tutup nya
menerus	men terus
rontokan	rontok an
gol	gol
membuahkan	men buah kan
memacunya	men pacu nya
sarang	sarang
dirapatkan	di rapat kan
pengumuman	pen umum an
berotot	ber otot
tiba	tiba
umum	umum
pengkoordinasian	pen koordinasi an
orangtuaku	orangtua aku
tersinggung	ter singgung
perkataanmu	per kata an mu
optimalisasi	optimalisasi
terkoyak	ter koyak
elpiji	elpiji
berjauhan	ber jauh an
mengetahuinya	men ketahui nya
dinegosiasikan	di negosiasi kan
menunduk	men tunduk
pergelangan	per gelang an
malas	malas
dipasang	di pasang
menyuburkan	men subur kan
daur	daur
menyetujuinya	men setuju i nya
sensor	sensor
dilema	dilema
utusan	utus an
ketimun	ketimun
menunjukkannya	men tunjuk kan nya
pengaturan	pen atur an
kelahirannya	ke lahir an nya
pembaru	pen baru
bermusuhan	ber musuh an
mati	mati
harganya	harga nya
bergunanya	ber guna nya
november	november
diinginkannya	di ingin kan nya
dipantau	di pantau
puncak	puncak
melatarbelakanginya	men latarbelakang i nya
perzinaan	per zina an
dikhotbahkan	di khotbah kan
jarak	jarak
cengkeh	cengkeh
memperluas	men luas
piala	piala
migrasi	migrasi
meliput	men liput
sekehendaknya	se kehendak nya
mewajibkan	men wajib kan
mengasuransi	men asuransi
bertunangan	ber tunang an
pengamatan	pengamat an
gerak	gerak
rahasia	rahasia
jelek	jelek
diplomasi	diplomasi
daerahnya	daerah nya
ketidakseragaman	ke tidak seragam an
merekomendasikan	men rekomendasi kan
perbanyakan	per banyak an
salehnya	saleh nya
melarang	men larang
bijih	bijih
peserta	peserta
menjelang	men jelang
krisis	krisis
tahapan	tahap an
beroperasi	ber operasi
anut	anut
penyeragaman	pen seragam an
pahitnya	pahit nya
teguh	teguh
bertenun	ber tenun
cemar	cemar
diformulasikan	di formulasi kan
diperkenankan	di per kenan kan
allahku	allah ku
paginya	pagi nya
penghasil	pen hasil
permen	permen
mengenakan	men kena kan
punglinya	pungli nya
hancur	hancur
mengontrak	men kontrak
paragraf	paragraf
dikuduskan	di kudus kan
menulari	men tular i
pengganggu	pen ganggu
pribadi	pribadi
dipinjam	di pinjam
melahirkan	men lahir kan
menjuarai	men juara i
pengenalan	pen kenal an
memedulikan	men peduli kan
dikutuk	di kutuk
aula	aula
berlantai	ber lantai
dikeluhkan	di keluh kan
bara	bara
perlukan	perlu kan
pangkal	pangkal
melihat	men lihat
keinginannya	ke ingin an nya
asean	asean
disidangkan	di sidang kan
didengar	di dengar
musiman	musim an
ditontonnya	di tonton nya
menghangatkan	men hangat kan
lontarkan	lontar kan
mempertaruhkan	men taruh kan
didominasi	di dominasi
penetapan	pen tetap an
dipilihkan	di pilih kan
diserang	di serang
konflik	konflik
mendisiplinkan	men disiplin kan
diperlukannya	di perlu kan nya
gulung	gulung
penyanyi	pen nyanyi
jabatannya	jabat an nya
disayangkan	di sayang kan
profesional	profesional
menghambakan	men hamba kan
melembaga	men lembaga
mempertajam	men tajam
lurah	lurah
manajemen	manajemen
ibuku	ibu ku
menghilangkan	men hilang kan
transportasi	transportasi
kompetitif	kompetitif
antarpemangku	antar pen pangku
dibatalkan	di batal kan
janda	janda
berhala	berhala
rangka	rangka
mengulas	men ulas
setulusnya	se tulus nya
apartemen	apartemen
pengusung	pen usung
terhampar	ter hampar
turunkan	turun kan
diletakkan	di letak kan
pemenuhannya	pen penuh an nya
gula	gula
pengenaan	pen kena an
semangat	semangat
izinnya	izin nya
teguran	tegur an
hening	hening
tersaji	ter saji
lemah	lemah
baca	baca
beragama	ber agama
banyak	banyak
pertandingan	per tanding an
ajarannya	ajar an nya
mereda	men reda
penularan	pen tular an
mengabdikan	men abdi kan
menghentikan	men henti kan
tersayat	ter sayat
disentuh	di sentuh
sobekan	sobek an
sadar	sadar
ketidaklayakan	ke tidak layak an
tongkatnya	tongkat nya
bicara	bicara
janjinya	janji nya
dililiti	di lilit i
samping	samping
cemas	cemas
hadirat	hadirat
ramalan	ramal an
terkoordinir	ter koordinir
perbuatannya	per buat an nya
diobservasi	di observasi
pizza	pizza
ungkap	ungkap
lutut	lutut
kerah	kerah
antarkeluarga	antar keluarga
lupakan	lupa kan
memisahkan	men pisah kan
kusebut	ku sebut
antarkelompok	antar kelompok
berfikir	ber fikir
rawat	rawat
ungkapkan	ungkap kan
mengadu	men adu
penegak	pen tegak
dipelajarinya	di pelajar i nya
mengusulkan	men usul kan
dideklarasikan	di deklarasi kan
mempertanyakan	men tanya kan
memesan	men pesan
ditindaklanjuti	di tindaklanjut i
berobat	ber obat
angkatan	angkat an
gumpalan	gumpal an
konvensi	konvensi
canada	canada
saji	saji
pembibitan	pen bibit an
terbelakang	ter belakang
menjagamu	men jaga mu
pembentukannya	pen bentuk an nya
juara	juara
sekuler	sekuler
semisal	se misal
sepucuk	se pucuk
managemen	managemen
penyusutan	pen susut an
menghargai	men harga i
lingkungannya	lingkung an nya
dilanda	di landa
permohonan	per mohon an
kedelai	kedelai
omongan	omong an
ditunjukkan	di tunjuk kan
ditandatangani	di tandatangan i
umat	umat
menoleransinya	men toleransi nya
penyelamat	pen selamat
ketidakadilan	ke tidak adil an
pilihnya	pilih nya
realisasi	realisasi
pandang	pandang
tabungannya	tabung an nya
menanyakannya	men tanya kan nya
sabar	sabar
yunani	yunani
puncaknya	puncak nya
ditantang	di tantang
mewarisi	men waris i
keturunanmu	ke turun an mu
menantangnya	men tantang nya
lokal	lokal
bobot	bobot
bos	bos
diparkir	di parkir
terpinggir	ter pinggir
ajakan	ajak an
lurahnya	lurah nya
mengimpor	men impor
penurunannya	pen turun an nya
anggrek	anggrek
merumuskan	men rumus kan
perhutanan	per hutan an
menggigitnya	men gigit nya
dikabulkan	di kabul kan
mengusung	men usung
diseleksi	di seleksi
fasilitatornya	fasilitator nya
mempergunakan	men guna kan
minim	minim
mengucapkannya	men ucap kan nya
tenda	tenda
kiriman	kirim an
edaran	edar an
berternak	ber ternak
canggih	canggih
mengasihimu	men kasih i mu
bersiul	ber siul
pengambilalihan	pen ambilalih an
menimbun	men timbun
ditopang	di topang
menanamkan	men tanam kan
listrik	listrik
lambatnya	lambat nya
gran	gr an
dikemukakan	di kemuka kan
menyebrangi	men sebrang i
menyimpan	men simpan
dinding	dinding
selimut	selimut
melampaui	men lampau i
mengkomunikasikan	men komunikasi kan
kasus	kasus
memperkenalkan	men kenal kan
curian	curi an
bagiannya	bagi an nya
sejenisnya	se jenis nya
menangisinya	men tangis i nya
diselamatkan	di selamat kan
dunia	dunia
penggilingan	pen giling an
bercampur	ber campur
dimuliakan	di mulia kan
efek	efek
memantulkan	men pantul kan
menyuratkan	men surat kan
ditafsirkan	di tafsir kan
warganya	warga nya
kekeliruan	ke keliru an
cerita	cerita
memanipulasi	men manipulasi
terbit	terbit
moral	moral
seseorang	seseorang
merealisasikannya	men realisasi kan nya
dicicil	di cicil
pudar	pudar
berlindung	ber lindung
memperoleh	men peroleh
cobaan	coba an
disesuaikan	di sesuai kan
separah	se parah
atlet	atlet
pemanis	pen manis
meringkas	men ringkas
bercerai	ber cerai
kamarmu	kamar mu
dihiasi	di hias i
kecurigaan	ke curiga an
mekaniknya	mekanik nya
bersenjata	ber senjata
siswanya	siswa nya
digaji	di gaji
menopang	men topang
duka	duka
desain	desain
melelehkan	men leleh kan
operasional	operasional
prioritas	prioritas
ditampung	di tampung
ketidakaktifan	ke tidak aktif an
dikendorkan	di kendor kan
berkedudukan	ber ke duduk an
waduk	waduk
imunisasi	imunisasi
turki	turki
memusnahkan	men musnah kan
dipisah	di pisah
volumenya	volume nya
taktik	taktik
tanahnya	tanah nya
dipersempit	di per sempit
individu	individu
melaporkannya	men lapor kan nya
wiraswasta	wiraswasta
diterbitkannya	di terbit kan nya
tertancap	ter tancap
berbalik	ber balik
menyambung	men sambung
niat	niat
pemberkatan	pen berkat an
terabaikannya	ter abai kan nya
perkawinan	per kawin an
tol	tol
kadaluarsa	kadaluarsa
kotornya	kotor nya
rumput	rumput
ngerinya	ngeri nya
disarankan	di saran kan
komandannya	komandan nya
dibutuhkannya	di butuh kan nya
harta	harta
perda	perda
menyetorkannya	men setor kan nya
kakaknya	kakak nya
menjelaskannya	men jelas kan nya
menceraikan	men cerai kan
berkonsentrasi	ber konsentrasi
diturunkan	di turun kan
diragukan	di ragu kan
harmonis	harmonis
mewarnai	men warna i
legal	legal
persawahan	per sawah an
goncangan	goncang an
memaknai	men makna i
dibantu	di bantu
abstrak	abstrak
berskala	ber skala
cobakan	coba kan
sedunia	se dunia
bersaat	ber saat
distrik	distrik
menyetir	men setir
memelihara	men pelihara
meyakini	men yakin i
kebalikan	ke balik an
diciptakannya	di cipta kan nya
mengorganisasi	men organisasi
ajaib	ajaib
perbendaharaan	per bendahara an
direlokasi	di relokasi
plastiknya	plastik nya
jurus	jurus
aksesnya	akses nya
surgawi	surgawi
konotasi	konotasi
lentur	lentur
diteladani	di teladan i
berbelanja	ber belanja
eternit	eternit
pembicaranya	pen bicara nya
bermerk	ber merk
asuh	asuh
membanjirnya	men banjir nya
nasibnya	nasib nya
tercela	ter cela
mengevaluasi	men evaluasi
diibaratkan	di ibarat kan
aksesibilitas	aksesibilitas
dilewati	di lewat i
menerapkannya	men terap kan nya
ditoleransi	di toleransi
menghindarkan	men hindar kan
dijatuhkan	di jatuh kan
menyukseskan	men sukses kan
menyelami	men selam i
jajaran	jajar an
pelembagaan	pen lembaga an
menakjubkannya	men takjub kan nya
menerapkan	men terap kan
bahasa	bahasa
membakar	men bakar
ketidaksanggupan	ke tidak sanggup an
lanjutannya	lanjut an nya
khasiatnya	khasiat nya
bersalah	ber salah
permanen	permanen
radio	radio
kanwil	kanwil
terakhirnya	ter akhir nya
instan	instan
balap	balap
memproduksinya	men produksi nya
diorganisasi	di organisasi
instansinya	instansi nya
sesuainya	sesuai nya
menyerahkan	men serah kan
pengepungan	pen kepung an
hubungi	hubung i
daunnya	daun nya
artikelnya	artikel nya
singkatnya	singkat nya
digunakannya	di guna kan nya
diolah	di olah
fakir	fakir
paradigma	paradigma
dipatuhi	di patuh i
diserahkannya	di serah kan nya
efeknya	efek nya
seimbang	seimbang
pembobotan	pen bobot an
memerlukan	men perlu kan
mutunya	mutu nya
nyatakan	nyata kan
belokan	belok an
pemerintah	pen perintah
mengurus	men urus
belakang	belakang
permanennya	permanen nya
berasas	ber asas
pemeriksa	pen periksa
perkasa	perkasa
dekade	dekade
iklim	iklim
setianya	setia nya
pemiliknya	pen milik nya
indikasi	indikasi
tertatanya	ter tata nya
diboboli	di bobol i
terhindarkan	ter hindar kan
talenta	talenta
gerutuan	gerutu an
mengefisienkan	men efisien kan
menyebalkan	men sebal kan
tingkatan	tingkat an
dikenalnya	di kenal nya
disangka	di sangka
politis	politis
mengaktifkannya	men aktif kan nya
memeriksanya	men periksa nya
polisi	polisi
tercengang	ter cengang
ketidakmampuan	ke tidak mampu an
memperkokoh	men kokoh
menerimanya	men terima nya
ibu	ibu
kristal	kristal
sesempurna	se sempurna
pedih	pedih
penggaduhan	pen gaduh an
ditumbuk	di tumbuk
pergiliran	per gilir an
bepergian	bepergian
ruangnya	ruang nya
diimbangi	di imbang i
dikelolanya	di kelola nya
olimpiade	olimpiade
relatif	relatif
pembobolan	pen bobol an
mengimunisasi	men imunisasi
dipraktekkan	di praktek kan
mewariskan	men waris kan
kebakaran	ke bakar an
kualifikasinya	kualifikasi nya
memperkaya	men kaya
berkondisi	ber kondisi
gizinya	gizi nya
koordinasi	koordinasi
konsumen	konsumen
mengkonsultasikannya	men konsultasi kan nya
bergoncang	ber goncang
menimba	men timba
menjamur	men jamur
memperpendek	men pendek
filosofi	filosofi
warisan	waris an
hunian	huni an
kartun	kartun
deretan	deret an
tani	tani
gagang	gagang
dilatarbelakangi	di latarbelakang i
kumulatif	kumulatif
meninggalnya	men tinggal nya
kumpulkan	kumpul kan
profesionalismenya	profesionalisme nya
memandunya	men pandu nya
bergantungnya	ber gantung nya
besarnya	besar nya
kehendaki	kehendak i
dipajaki	di pajak i
pengadu	pen adu
sutradara	sutradara
kolaborasi	kolaborasi
memudarkan	men pudar kan
menyampaikannya	men sampai kan nya
kritis	kritis
ditinggikan	di tinggi kan
kiranya	kira nya
dialokasi	di alokasi
penyemprotan	pen semprot an
administrasinya	administrasi nya
dihadapinya	di hadap i nya
terkasih	ter kasih
pimpinan	pimpin an
memenangi	men menang i
butuhkan	butuh kan
pembebasan	pen bebas an
meriah	meriah
model	model
pegolf	pen golf
berkeinginan	ber ke ingin an
bermukim	ber mukim
ditentukan	di tentu kan
terbantu	ter bantu
mengasihinya	men kasih i nya
akademi	akademi
tentunya	tentu nya
memperhitungkan	men hitung kan
salinan	salin an
berambut	ber rambut
praktisnya	praktis nya
termuda	ter muda
arisan	arisan
saluran	salur an
jasad	jasad
erat	erat
mil	mil
diutarakan	di utara kan
melenyapkan	men lenyap kan
pelikan	pelik an
dokternya	dokter nya
rekonstruksi	rekonstruksi
kualitasnya	kualitas nya
terkuno	ter kuno
fleksibel	fleksibel
serangkaian	se rangkaian
proporsi	proporsi
bergelantungan	ber gelantung an
ri	ri
menerangi	men terang i
nya	nya
variasi	variasi
kendalikan	kendali kan
jaya	jaya
memaksanya	men paksa nya
lawatan	lawatan
asi	as i
yayasan	yayasan
penunjukkan	penunjukkan
memandangku	men pandang ku
secepatnya	se cepat nya
kehendak	kehendak
menuntun	men tuntun
membalikkannya	men balik kan nya
badak	badak
memperkosa	men perkosa
adam	adam
danau	danau
nutrisi	nutrisi
lebar	lebar
tepat	tepat
seisi	se isi
mewujudkan	men wujud kan
menumbuhkannya	men tumbuh kan nya
berterima	ber terima
diabaikan	di abai kan
ujungnya	ujung nya
tubuhku	tubuh ku
menikah	men nikah
dilaksanakannya	di laksana kan nya
menindaklanjutinya	men tindaklanjut i nya
tergali	ter gali
dirampungkan	di rampung kan
tipu	tipu
dilempar	di lempar
lomba	lomba
alih	alih
skema	skema
dimekarkan	di mekar kan
telur	telur
penghancuran	pen hancur an
mengendalikan	men kendali kan
minumannya	minum an nya
beranggapan	ber anggap an
rintisan	rintis an
kisaran	kisar an
terlatih	ter latih
permintaannya	per minta an nya
digabungkan	di gabung kan
daratannya	darat an nya
memandangi	men pandang i
pemegang	pen pegang
gayanya	gaya nya
arsip	arsip
diagnosa	diagnosa
pembalasan	pen balas an
video	video
terwakili	ter wakil i
memanjakan	men manja kan
bantal	bantal
mobilitas	mobilitas
hubunganku	hubung an ku
tertampung	ter tampung
sepenting	se penting
tatap	tatap
kucilkan	kucil kan
budak	budak
menyerang	men serang
disejajarkan	di sejajar kan
pemajuan	pen maju an
memperlemah	men lemah
melonjaknya	men lonjak nya
habis	habis
perajin	pen rajin
menyusu	men susu
sesederhana	se sederhana
mengapung	men apung
mengantarkan	men antar kan
pengorbanannya	pen korban an nya
piutang	piutang
kontraktor	kontraktor
tersajikan	ter saji kan
gencarnya	gencar nya
pala	pala
terdistribusi	ter distribusi
sesat	sesat
debiturnya	debitur nya
bilangan	bilang an
gagal	gagal
menolongnya	men tolong nya
penyembahan	pen sembah an
dioperasikan	di operasi kan
ditabungkan	di tabung kan
memberiku	men beri ku
pemandu	pen pandu
menjejali	men jejal i
membimbing	men bimbing
lintas	lintas
awak	awak
otak	otak
tuliskan	tulis kan
terbangun	ter bangun
nonharga	non harga
ditanggung	di tanggung
bayi	bayi
dicap	di cap
diramalkan	di ramal kan
merontokkan	men rontok kan
sabuk	sabuk
diserahi	di serah i
atraksi	atraksi
mengerikan	men ngeri kan
pergaulan	per gaul an
keponakan	keponakan
januari	januari
sempurnanya	sempurna nya
berguna	ber guna
didenda	di denda
diskriminasi	diskriminasi
wilayah	wilayah
paruh	paruh
jijik	jijik
mayat	mayat
tanaman	tanam an
format	format
dioptimalkan	di optimal kan
pengampunan	pen ampun an
material	material
tangerang	tangerang
komentar	komentar
instrumen	instrumen
berbohong	ber bohong
metrologi	metrologi
pembayaran	pen bayar an
pukul	pukul
planet	planet
panel	panel
akademik	akademik
bibir	bibir
tahun	tahun
pencalonan	pen calon an
tata	tata
berkumpul	ber kumpul
etnik	etnik
berkisar	ber kisar
sudut	sudut
ramalannya	ramal an nya
diakuinya	di aku i nya
menjengkelkan	men jengkel kan
ishak	ishak
rapuhnya	rapuh nya
ditusuk	di tusuk
bercermin	ber cermin
didarati	di darat i
menepati	men tepat i
duplikasi	duplikasi
terinformasi	ter informasi
pasca	pasca
berprasangka	ber prasangka
tragis	tragis
kecaman	kecam an
berbenah	ber benah
nonpenerima	non pen terima
bobrok	bobrok
mencicipi	men cicip i
ditebang	di tebang
melambaikan	men lambai kan
membagi	men bagi
perindustrian	per industri an
sosial	sosial
bangku	bangku
pasang	pasang
dibebani	di beban i
terumbu	terumbu
manajer	manajer
mengorganisasikan	men organisasi kan
teraniaya	ter aniaya
pelaksanaan	pen laksana an
tangan	tangan
pembaharuan	pen baharu an
persis	persis
laba	laba
menitip	men titip
pemerasan	pen peras an
penyimpangan	pen simpang an
terukur	ter ukur
penjudi	pen judi
bernapas	ber napas
disalahkan	di salah kan
nafas	nafas
dilukai	di luka i
perangnya	perang nya
didampinginya	di damping i nya
berkelahi	ber kelahi
menggariskan	men garis kan
ketidakcocokan	ke tidak cocok an
pemungut	pen pungut
dividen	dividen
pamannya	paman nya
santunku	santun ku
keluhannya	keluh an nya
pengguna	pen guna
wol	wol
perspektif	perspektif
talentanya	talenta nya
pengaturnya	pen atur nya
berkeliaran	ber ke liar an
hambatannya	hambat an nya
mengetuk	men ketuk
kompensasi	kompensasi
penuturan	pen tutur an
dilimpahkan	di limpah kan
penyelesaian	pen selesai an
anu	anu
amal	amal
menggolkan	men gol kan
pertandingannya	per tanding an nya
pacarku	pacar ku
melatih	men latih
bantahan	bantah an
diperlunak	di per lunak
memajukan	men maju kan
diingatnya	di ingat nya
dihindari	di hindar i
geografisnya	geografis nya
obatan	obat an
menyemangatinya	men semangat i nya
diadakannya	di ada kan nya
memampukan	men mampu kan
kebalikannya	ke balik an nya
berfungsinya	ber fungsi nya
barangsiapa	barangsiapa
membawakan	men bawa kan
tahunannya	tahun an nya
menggalang	men galang
pengiring	pen iring
asetnya	aset nya
dikuasai	di kuasa i
independensi	independensi
penargetannya	pen target an nya
reaksinya	reaksi nya
pernikahannya	per nikah an nya
persekutuan	per sekutu an
lamban	lamban
berpikir	ber pikir
akhirat	akhirat
daftar	daftar
dikurangi	di kurang i
pencantuman	pen cantum an
tukar	tukar
agamanya	agama nya
terjadi	ter jadi
kebutuhannya	ke butuh an nya
pengerasan	pen keras an
mematuhi	men patuh i
peternakannya	peternakan nya
terpaut	ter paut
besar	besar
dipakai	di pakai
kacang	kacang
pembenahan	pen benah an
perdarahan	per darah an
jembatan	jembatan
diemban	di emban
menipisnya	men tipis nya
mengijonkan	men ijon kan
pungli	pungli
debutnya	debut nya
depannya	depan nya
investasinya	investasi nya
tenggang	tenggang
terobsesi	ter obsesi
adaptasi	adaptasi
afrika	afrika
berinvestasi	ber investasi
berkepentingan	ber ke penting an
lelakinya	lelaki nya
sorotan	sorot an
penghapusan	pen hapus an
belanjaan	belanja an
goyang	goyang
memobilisasi	men mobilisasi
penjelajahan	pen jelajah an
disampaikan	di sampai kan
melampirkannya	men lampir kan nya
melukai	men luka i
risiko	risiko
teraman	ter aman
subur	subur
terarah	ter arah
penelitinya	pen teliti nya
menggigitku	men gigit ku
penjala	pen jala
mengelilingi	men keliling i
neraca	neraca
buat	buat
lembar	lembar
mengeluh	men keluh
diremehkan	di remeh kan
zamannya	zaman nya
memasuki	men masuk i
berbulu	ber bulu
kuperintahkan	ku perintah kan
seyakin	se yakin
sumber	sumber
susut	susut
terutama	ter utama
terdapat	ter dapat
tertulis	ter tulis
mendewakan	men dewa kan
sebaik	se baik
dimaksudkannya	di maksud kan nya
diingat	di ingat
pengumpulan	pen kumpul an
dihibur	di hibur
film	film
bising	bising
audio	audio
membuatkan	men buat kan
sistem	sistem
review	review
spesialis	spesialis
ketidakjujuran	ke tidak jujur an
gelanggang	gelanggang
kumuh	kumuh
riil	riil
beradu	ber adu
dikontraknya	di kontrak nya
terkucil	ter kucil
bahasanya	bahasa nya
posyandunya	posyandu nya
disusun	di susun
jengkel	jengkel
terealisasi	ter realisasi
menggantinya	men ganti nya
didera	di dera
bergeser	ber geser
dipulihkan	di pulih kan
peningkatannya	pen tingkat an nya
suaminya	suami nya
diputar	di putar
antarklub	antar klub
merdeka	merdeka
didukungnya	di dukung nya
menanggungnya	men tanggung nya
tali	tali
dirancang	di rancang
suasana	suasana
armada	armada
harfiah	harfiah
penyebutan	pen sebut an
keramik	keramik
dipersembahkan	di per sembah kan
dijadwalkan	di jadwal kan
dimampukan	di mampu kan
menebusnya	men tebus nya
pengasingan	pen asing an
uskup	uskup
remajanya	remaja nya
ayam	ayam
mental	mental
bungkusnya	bungkus nya
jarinya	jari nya
anggapan	anggap an
menggosipkan	men gosip kan
petik	petik
menunggu	men tunggu
memimpikan	men mimpi kan
berkesimpulan	ber ke simpul an
dikonfirmasikan	di konfirmasi kan
pemandangannya	pen pandang an nya
tersingkirnya	ter singkir nya
lapangan	lapang an
dibimbing	di bimbing
bisnisnya	bisnis nya
selamat	selamat
pulih	pulih
seutuhnya	se utuh nya
pemeliharaan	pen pelihara an
mengajar	men ajar
pemutakhiran	pen mutakhir an
girang	girang
pendesentralisasian	pen desentralisasi an
koalisi	koalisi
hormati	hormat i
kaisar	kaisar
penerimaannya	pen terima an nya
memperketat	men ketat
memotong	men potong
peranannya	peran an nya
dipastikan	di pasti kan
berpacaran	ber pacar an
preminya	premi nya
sutera	sutera
judul	judul
aduannya	adu an nya
liat	liat
menantang	men tantang
membalasnya	men balas nya
direhabilitasi	di rehabilitasi
inovasi	inovasi
sebisa	se bisa
diharap	di harap
musim	musim
bacaan	baca an
menginspirasi	men inspirasi
dipuji	di puji
menyapa	men sapa
meneguhkan	men teguh kan
dilindungi	di lindung i
permata	permata
buka	buka
denyut	denyut
perkiraan	per kira an
diikutsertakannya	di ikutserta kan nya
berarti	ber arti
menginginkan	men ingin kan
dikontrakkan	di kontrak kan
memaksimalkan	men maksimal kan
coba	coba
kepindahan	ke pindah an
balau	balau
turnamen	turnamen
daging	daging
pendistribusian	pen distribusi an
beku	beku
demam	demam
pembunuhan	pen bunuh an
santai	santai
kalah	kalah
karya	karya
seteguh	se teguh
mengelabui	men kelabui
ditetapkan	di tetap kan
menukar	men tukar
diperbaruinya	di per baru i nya
diberi	di beri
pemilih	pen pilih
renang	renang
utang	utang
takut	takut
proteksi	proteksi
bergosip	ber gosip
madu	madu
diperbudak	di per budak
kemunculan	ke muncul an
dihadiahi	di hadiah i
menembakkan	men tembak kan
mengingini	men ingin i
masuknya	masuk nya
pisaunya	pisau nya
hak	hak
butuh	butuh
memainkannya	men main kan nya
dikombinasikan	di kombinasi kan
dicacah	di cacah
dilenyapkan	di lenyap kan
penerangan	pen terang an
terdefinisi	ter definisi
membacakan	men baca kan
dirham	dirham
berpengaruh	ber pengaruh
dunianya	dunia nya
diputuskan	di putus kan
menjelekkan	men jelek kan
membuangnya	men buang nya
selesai	selesai
antarhasil	antar hasil
melelahkan	men lelah kan
emosionalnya	emosional nya
berpenghuni	ber pen huni
sukunya	suku nya
dihadapi	di hadap i
menggagalkan	men gagal kan
merepresentasi	men representasi
terkungkung	ter kungkung
pembengkakan	pen bengkak an
melukiskan	men lukis kan
diupah	di upah
tunggal	tunggal
kepercayaannya	ke percaya an nya
pajangan	pajang an
tunjukkan	tunjuk kan
dipermainkan	di per main kan
bermacam	ber macam
stabilitas	stabilitas
diilhamkan	di ilham kan
prestasinya	prestasi nya
tergantung	ter gantung
sektor	sektor
kawanan	kawan an
enaknya	enak nya
semacam	se macam
terkunci	ter kunci
diceraikan	di cerai kan
diterus	di terus
klarifikasi	klarifikasi
laksanakan	laksana kan
kembalinya	kembali nya
konsepnya	konsep nya
tinggalkan	tinggal kan
tahap	tahap
panen	panen
terselami	ter selam i
konsensus	konsensus
menelusuri	men telusuri
pengaduan	pen adu an
pendingin	pen dingin
mengancam	men ancam
persalinan	per salin an
kuil	kuil
bermerek	ber merek
untung	untung
diajukan	di aju kan
kuatnya	kuat nya
lembaran	lembar an
mainanmu	main an mu
konferensi	konferensi
eksperimen	eksperimen
puluhan	puluh an
tekstil	tekstil
kontroversi	kontroversi
terbawah	ter bawah
fungsinya	fungsi nya
penjelasan	pen jelas an
gelap	gelap
mengadministrasikan	men administrasi kan
dirawat	di rawat
pikun	pikun
dilarang	di larang
tropis	tropis
penagih	pen tagih
antarwilayah	antar wilayah
disambut	di sambut
memperpanjang	men panjang
mempersempit	men sempit
menepi	men tepi
auman	aum an
tertangkap	ter tangkap
diurut	di urut
tunggu	tunggu
panggilan	panggil an
pemerintahannya	pen perintah an nya
dilibatkannya	di libat kan nya
menghilangkannya	men hilang kan nya
mutasi	mutasi
mengawasi	men awas i
menipu	men tipu
mengembalikan	men kembali kan
gila	gila
berandil	ber andil
menyangkanya	men sangka nya
berpendapatan	ber pen dapat an
berujung	ber ujung
belenggu	belenggu
indera	indera
meninggikan	men tinggi kan
menciprat	men ciprat
memandang	men pandang
sentuh	sentuh
akut	akut
perkampungan	per kampung an
menggunung	men gunung
dibakukan	di baku kan
personal	personal
langsing	langsing
eksteriornya	eksterior nya
kongres	kongres
usulkan	usul kan
meneliti	men teliti
realitas	realitas
dimuat	di muat
lihat	lihat
ketik	ketik
provinsinya	provinsi nya
memasyarakat	men masyarakat
merefleksikan	men refleksi kan
membawa	men bawa
mengakomodasi	men akomodasi
ambruk	ambruk
punah	punah
memarkir	men parkir
pengecualian	pengecualian
dirumahmu	di rumah mu
muslihat	muslihat
wawancarai	wawancara i
warganegaranya	warganegara nya
mempromosikan	men promosi kan
pendistribusiannya	pen distribusi an nya
menghadirkan	men hadir kan
membereskan	men beres kan
perekam	pen rekam
