sepedanya	sepeda nya
sanggup	sanggup
populasinya	populasi nya
belakang	belakang
pendahuluan	pendahulu an
pengikut	pen ikut
dipulau	di pulau
sahabatku	sahabat ku
bertekuk	ber tekuk
kemajuan	ke maju an
kupasang	ku pasang
genangan	genang an
murahnya	murah nya
karun	karun
penghulu	pen hulu
urusanku	urus an ku
tata	tata
panjang	panjang
tindakan	tindak an
pejabatnya	pejabat nya
terencana	ter rencana
seni	seni
peranannya	peran an nya
pengangkatannya	pen angkat an nya
semasa	se masa
termiskin	ter miskin
anggapan	anggap an
sampul	sampul
kios	kios
digandakan	di ganda kan
mendukakan	men duka kan
penyembah	pen sembah
beririgasi	ber irigasi
menyegarkan	men segar kan
irak	irak
pelanggarannya	pen langgar an nya
dasar	dasar
mempercayai	men percaya i
sel	sel
anggotanya	anggota nya
kebutuhanmu	ke butuh an mu
kelam	kelam
meremajakannya	men remaja kan nya
propinsi	propinsi
mewujudkannya	men wujud kan nya
teknisnya	teknis nya
melangsungkan	men langsung kan
pelajarannya	pelajar an nya
tuntas	tuntas
ketidaksetujuan	ke tidak setuju an
ditukar	di tukar
terluas	ter luas
februari	februari
kutinggalkan	ku tinggal kan
bersekutu	ber sekutu
penerapan	pen terap an
suram	suram
besok	besok
peliharaannya	pelihara an nya
pandangnya	pandang nya
membedah	men bedah
pagi	pagi
modal	modal
menduplikasi	men duplikasi
mengosongkannya	men kosong kan nya
pengecualian	pengecualian
pendahulunya	pendahulu nya
daratnya	darat nya
kupikir	ku pikir
diukir	di ukir
pipa	pipa
kriterianya	kriteria nya
melawannya	men lawan nya
tombol	tombol
kerabat	kerabat
cucu	cucu
dinyatakannya	di nyata kan nya
mengintervensi	men intervensi
perhimpunan	per himpun an
navigasi	navigasi
respons	respons
penembakan	pen tembak an
goyang	goyang
1970an	1970 an
antarkabupaten	antar kabupaten
disamai	di sama i
sepoi	sepoi
melatih	men latih
beku	beku
tembakau	tembakau
ular	ular
triwulanannya	triwulan an nya
tercemarnya	ter cemar nya
terdapat	ter dapat
mengajarkannya	men ajar kan nya
penyesuaian	pen sesuai an
pengaruh	pengaruh
tersita	ter sita
beritakan	berita kan
merapikan	men rapi kan
perjuangannya	per juang an nya
akademi	akademi
petani	petani
perusahaan	per usaha an
menjelajahi	men jelajah i
teknologi	teknologi
targetnya	target nya
kompleksnya	kompleks nya
dikepung	di kepung
perabot	perabot
penebus	pen tebus
masehi	masehi
mikrofon	mikrofon
perkawinan	per kawin an
jungkir	jungkir
lurahnya	lurah nya
miskin	miskin
latarbelakang	latarbelakang
administrasi	administrasi
perencana	pen rencana
didiagnosa	di diagnosa
pengajarnya	pen ajar nya
pencairan	pen cair an
cerminkan	cermin kan
penjelajah	pen jelajah
islam	islam
perkebunan	per kebun an
belanjakan	belanja kan
manajerial	manajerial
handuk	handuk
terkhusus	ter khusus
namanya	nama nya
pemaksaan	pen paksa an
sisanya	sisa nya
seintensif	se intensif
detak	detak
debitur	debitur
warisnya	waris nya
menempel	men tempel
bicara	bicara
disampaikannya	di sampai kan nya
dibersihkan	di bersih kan
pemeluk	pen peluk
tulang	tulang
mengalah	men kalah
persebaran	per sebar an
membikin	men bikin
andil	andil
kepala	kepala
berpartisipasi	ber partisipasi
bisikan	bisik an
empuk	empuk
perusahaannya	per usaha an nya
bayi	bayi
semangnya	semang nya
disambut	di sambut
pintar	pintar
berlindung	ber lindung
tambaknya	tambak nya
kelanjutannya	ke lanjut an nya
pikiranmu	pikir an mu
eksekutif	eksekutif
antarkelompok	antar kelompok
pertempuran	per tempur an
umum	umum
dilaksanakan	di laksana kan
kompas	kompas
gali	gali
persis	persis
percayakan	percaya kan
bentuknya	bentuk nya
kebun	kebun
memodifikasi	men modifikasi
lelakinya	lelaki nya
rumahnya	rumah nya
menganggap	men anggap
ceritakan	cerita kan
melemparinya	men lempar i nya
antarwarga	antar warga
tawanan	tawan an
mengakumulasi	men akumulasi
turunnya	turun nya
rangkap	rangkap
berusia	ber usia
jahe	jahe
lokasinya	lokasi nya
penitipan	pen titip an
nikel	nikel
menanggulangi	men tanggulang i
melintas	men lintas
terbentur	ter bentur
awal	awal
memberitahuku	men beritahu ku
penjual	pen jual
mencondongkan	men condong kan
alkitabnya	alkitab nya
donasi	donasi
ditetapkan	di tetap kan
roti	roti
mengabaikan	men abai kan
melemparkan	men lempar kan
tertolak	ter tolak
terdukung	ter dukung
diseimbangkan	di seimbang kan
dikecewakan	di kecewa kan
pertandingannya	per tanding an nya
siap	siap
terobosan	terobos an
ajarkan	ajar kan
ketidakpahaman	ke tidak paham an
sejauh	se jauh
ditendang	di tendang
menjala	men jala
menandaskan	men tandas kan
usulannya	usul an nya
dana	dana
responden	responden
memahaminya	men paham i nya
pergiliran	per gilir an
bervariasi	ber variasi
komitmennya	komitmen nya
terformulasi	ter formulasi
suasana	suasana
lapangan	lapang an
relaksasi	relaksasi
prinsipnya	prinsip nya
ditujukan	di tuju kan
dilema	dilema
restorasi	restorasi
siang	siang
mengabdi	men abdi
definisinya	definisi nya
kasih	kasih
dipelajari	di pelajar i
mengiring	men iring
listrik	listrik
mempertahankan	men tahan kan
berpenampilan	ber pen tampil an
tahan	tahan
terganggu	ter ganggu
diklasifikasikan	di klasifikasi kan
laptop	laptop
berotak	ber otak
persendian	per sendi an
pengecualiannya	pengecualian nya
mengesahkan	men sah kan
berproduksi	ber produksi
setimpal	setimpal
kandangnya	kandang nya
terprogram	ter program
dibentuknya	di bentuk nya
persen	persen
dibiasakan	di biasa kan
aktivitasnya	aktivitas nya
lazim	lazim
terkonsolidasi	ter konsolidasi
tereliminasi	ter eliminasi
tubuh	tubuh
pencacahan	pen cacah an
dimasukkan	di masuk kan
cipta	cipta
memvonis	men vonis
terpencil	terpencil
grup	grup
gabus	gabus
digendong	di gendong
bernapas	ber napas
mentransfer	men transfer
ditempuh	di tempuh
andal	andal
pesan	pesan
perkataanku	per kata an ku
menelan	men telan
diklasifikasi	di klasifikasi
disaksikan	di saksi kan
mendakwa	men dakwa
dibangkitkan	di bangkit kan
pasukannya	pasukan nya
mencapai	men capai
konkrit	konkrit
kerabatnya	kerabat nya
hinaan	hina an
antarnegara	antar negara
birokrasi	birokrasi
tuanku	tuan ku
diulas	di ulas
menyingkapkan	men singkap kan
pemangkasan	pen pangkas an
berlumur	ber lumur
dikonsentrasikan	di konsentrasi kan
penyitaan	pen sita an
biologis	biologis
melingkupi	men lingkup i
kompetisi	kompetisi
denyut	denyut
menggolkan	men gol kan
ketinggalan	ke tinggal an
diluputkan	di luput kan
otonomi	otonomi
latihannya	latih an nya
membersihkan	men bersih kan
dikhotbahkan	di khotbah kan
menguap	men uap
pertenunan	per tenun an
ubi	ubi
sungkan	sungkan
mendamaikan	men damai kan
pemerintah	pen perintah
diredam	di redam
lancar	lancar
diprioritaskan	di prioritas kan
mengalokasi	men alokasi
review	review
cepat	cepat
kemarin	kemarin
tetangga	tetangga
pengganti	pen ganti
imunisasinya	imunisasi nya
dibangunnya	di bangun nya
opsi	opsi
mahabintangnya	mahabintang nya
perwujudan	per wujud an
berdebar	ber debar
dihadapi	di hadap i
mencair	men cair
gitar	gitar
dijawab	di jawab
bisbol	bisbol
mencanangkan	men canang kan
sebetulnya	se betul nya
atap	atap
jabodetabek	jabodetabek
muka	muka
bodoh	bodoh
tutur	tutur
melukai	men luka i
capaian	capai an
cuaca	cuaca
menggandeng	men gandeng
pekerjaannya	pekerja an nya
tongkat	tongkat
mendaftarkan	men daftar kan
antarruangan	antar ruang an
sumberdayanya	sumberdaya nya
material	material
teroris	teroris
didelegasikan	di delegasi kan
lambannya	lamban nya
aula	aula
liputan	liput an
tersulit	ter sulit
pentingnya	penting nya
cacat	cacat
berkelimpahan	ber ke limpah an
bajak	bajak
ketidakpastian	ke tidak pasti an
antarjenjang	antar jenjang
jumat	jumat
menuduh	men tuduh
suratnya	surat nya
pencukur	pen cukur
mencekik	men cekik
besi	besi
mengalahkan	men kalah kan
diemban	di emban
jangkauan	jangkau an
antargereja	antar gereja
hartanya	harta nya
bibinya	bibi nya
penyemprotan	pen semprot an
peternakannya	peternakan nya
memikat	men pikat
rupa	rupa
menakjubkan	men takjub kan
antarguru	antar guru
luwes	luwes
tersebut	ter sebut
keraskan	keras kan
termin	ter min
diverifikasinya	di verifikasi nya
mengelilinginya	men keliling i nya
sesamamu	se sama mu
menyatakan	men nyata kan
menengah	men tengah
dihentikan	di henti kan
dipersatukan	di per satu kan
konvoi	konvoi
sejahtera	sejahtera
terakhirnya	ter akhir nya
liar	liar
difokuskan	di fokus kan
antusiasmenya	antusiasme nya
debu	debu
situasi	situasi
bermutu	ber mutu
negaranya	negara nya
sahabatnya	sahabat nya
pemberian	pen beri an
manusianya	manusia nya
sengsara	sengsara
sawit	sawit
mencabuti	men cabut i
berupaya	ber upaya
memungut	men pungut
pembelajaran	pen belajar an
menolaknya	men tolak nya
layanannya	layan an nya
studinya	studi nya
mensahkan	men sah kan
beraneka	ber aneka
pakan	pakan
validasi	validasi
beasiswa	beasiswa
dikendalikan	di kendali kan
purnama	purnama
tembus	tembus
panggilan	panggil an
janda	janda
berpenghasilan	ber pen hasil an
ditiru	di tiru
bertuliskan	ber tulis kan
allahnya	allah nya
bermanfaat	ber manfaat
mesin	mesin
kusut	kusut
semisal	se misal
lebih	lebih
profesionalisme	profesionalisme
desain	desain
fluktuasi	fluktuasi
terpesona	ter pesona
identik	identik
kondisi	kondisi
menggantinya	men ganti nya
takaran	takar an
komentar	komentar
ditembuskan	di tembus kan
waktu	waktu
tertata	ter tata
kuterima	ku terima
tonton	tonton
dituntut	di tuntut
mengakhirinya	men akhir i nya
kering	kering
memperpanjang	men panjang
menunggang	men tunggang
persekutuan	per sekutu an
memperkecil	men kecil
tebalnya	tebal nya
dihapuskan	di hapus kan
mendetil	men detil
hiasan	hias an
dihormati	di hormat i
memutar	men putar
pertambangan	per tambang an
substansinya	substansi nya
diantar	di antar
dataran	datar an
jenewa	jenewa
menginvestasikannya	men investasi kan nya
revisi	revisi
selengkap	se lengkap
dipatok	di patok
terkemuka	ter kemuka
bermusyawarah	ber musyawarah
gejala	gejala
rontokan	rontok an
serok	se rok
bantahan	bantah an
melunasi	men lunas i
menunjuknya	men tunjuk nya
institusinya	institusi nya
karib	karib
akibatkan	akibat kan
kedengaran	ke dengar an
rambutnya	rambut nya
penggandaan	pen ganda an
mengapit	men apit
catatannya	catat an nya
antarsektor	antar sektor
ditampung	di tampung
luas	luas
kampung	kampung
populer	populer
diterima	di terima
teraman	ter aman
menyisihkan	men sisih kan
kalanya	kala nya
pemanjaan	pen manja an
menempatkannya	men tempat kan nya
penakluk	pen takluk
automotif	automotif
memanen	men panen
makamnya	makam nya
penyebarannya	pen sebar an nya
selisih	selisih
menjatahkan	men jatah kan
memasukkannya	men masuk kan nya
united	united
bantal	bantal
sirip	sirip
bagiannya	bagi an nya
kliping	kliping
surat	surat
adanya	ada nya
pembantuan	pen bantu an
tertabrak	ter tabrak
ikannya	ikan nya
gila	gila
dagangannya	dagang an nya
skandal	skandal
akuntabilitas	akuntabilitas
menempelkan	men tempel kan
memamerkannya	men pamer kan nya
penyebarluasan	pen sebarluas an
penanya	pen tanya
perkataanmu	per kata an mu
menit	menit
jagung	jagung
menyepakati	men sepakat i
pemahaman	pen paham an
metrik	metrik
membencinya	men benci nya
juara	juara
serbuan	serbu an
muliakan	mulia kan
dihuni	di huni
poster	poster
proteksi	proteksi
amati	amati
berdamai	ber damai
implikasi	implikasi
unit	unit
menggetarkan	men getar kan
mengenakan	men kena kan
menanggung	men tanggung
kenang	kenang
penekanannya	pen tekan an nya
kedelai	kedelai
pengobatannya	pen obat an nya
menggulirkan	men gulir kan
terjamin	ter jamin
tagihan	tagih an
jahitan	jahit an
kuno	kuno
solo	solo
peminjamannya	pen pinjam an nya
sebagian	sebagian
gabungan	gabung an
esa	esa
eksploitasi	eksploitasi
santri	santri
pendamping	pen damping
asalkan	asal kan
pembebanan	pen beban an
palang	palang
beranggapan	ber anggap an
dikompilasi	di kompilasi
penggembalaan	pen gembala an
surga	surga
edisi	edisi
dinyatakan	di nyata kan
bait	bait
pertumbuhannya	per tumbuh an nya
diberitakan	di berita kan
tanyakan	tanya kan
digali	di gali
berkarya	ber karya
melangkahi	men langkah i
ilmu	ilmu
dikenalnya	di kenal nya
komando	komando
pikir	pikir
momen	momen
pedesaan	pedesaan
diblokir	di blokir
permintaan	per minta an
penggelapan	pen gelap an
rahasia	rahasia
dikurangi	di kurang i
pemenuhannya	pen penuh an nya
motivasi	motivasi
dijadikan	di jadi kan
sekurangnya	se kurang nya
jijik	jijik
aneh	aneh
komposisi	komposisi
tragis	tragis
sewajarnya	se wajar nya
akurat	akurat
mengisolasi	men isolasi
dituduh	di tuduh
penyamaran	pen samar an
efisien	efisien
klaim	klaim
akut	akut
nonmakanan	non makan an
kedengarannya	ke dengar an nya
persneling	persneling
imbangannya	imbang an nya
pengasapan	pen asap an
petinggi	petinggi
terpintar	ter pintar
sendirian	sendiri an
pemerintahnya	pen perintah nya
diadakan	di ada kan
diskon	diskon
pembukuan	pen buku an
berkarakteristik	ber karakteristik
susah	susah
sesi	sesi
kawan	kawan
terdepan	ter depan
perkara	perkara
gugus	gugus
disatukan	di satu kan
peta	peta
langkahnya	langkah nya
penetapan	pen tetap an
traktor	traktor
memanfaatkannya	men manfaat kan nya
mengaruniakan	men karunia kan
email	email
1950an	1950 an
diluruskan	di lurus kan
mengikut	men ikut
kedudukannya	ke duduk an nya
disidangkan	di sidang kan
menggapai	men gapai
penyusunannya	pen susun an nya
akuntabilitasnya	akuntabilitas nya
sepesawat	se pesawat
sidang	sidang
penghentian	pen henti an
silahkan	silahkan
lini	lini
penabung	pen tabung
sampahnya	sampah nya
alih	alih
diminum	di minum
diidentifikasikan	di identifikasi kan
berbeda	ber beda
permasalahan	per masalah an
hartamu	harta mu
restoran	restoran
meraih	men raih
degradasi	degradasi
menyamar	men samar
resolusi	resolusi
rumitnya	rumit nya
pemutar	pen putar
penanganannya	pen tangan an nya
sumatera	sumatera
mengarahkan	men arah kan
makhluk	makhluk
pagar	pagar
terpikirkan	ter pikir kan
balok	balok
suami	suami
membalas	men balas
diperkenalkannya	di per kenal kan nya
serumah	se rumah
ditinggalkan	di tinggal kan
beragama	ber agama
menyayangkan	men sayang kan
dikerjasamakan	di kerjasama kan
medali	medali
musuh	musuh
ganjil	ganjil
antartingkat	antar tingkat
dirampok	di rampok
gugup	gugup
penyederhanaan	pen sederhana an
menjalin	men jalin
membelanjakannya	men belanja kan nya
mendistribusi	men distribusi
dibiarkan	di biar kan
bayangkan	bayang kan
sederhanakan	sederhana kan
listriknya	listrik nya
mencatat	men catat
dihubungi	di hubung i
radius	radius
berkeluh	ber keluh
halnya	hal nya
memanjatkan	men panjat kan
terikat	ter ikat
membatasi	men batas i
terbenam	ter benam
perikanannya	per ikan an nya
bersemayam	ber semayam
tepukan	tepuk an
suaraku	suara aku
ban	ban
berkarier	ber karier
danau	danau
kuat	kuat
bertanya	ber tanya
digigit	di gigit
tawa	tawa
pemajuan	pen maju an
menginstruksikan	men instruksi kan
memainkan	men main kan
termuda	ter muda
berobatnya	ber obat nya
merekam	men rekam
menyangkanya	men sangka nya
diperparah	di per parah
terpandang	ter pandang
perbankan	per bank an
cermat	cermat
sebisa	se bisa
dipersembahkan	di per sembah kan
tetangganya	tetangga nya
izinnya	izin nya
tokoh	tokoh
meneg	meneg
bersantap	ber santap
pencobaan	pen coba an
menerbitkan	men terbit kan
opini	opini
terbaca	ter baca
selektifnya	selektif nya
raga	raga
hadapanku	hadap an ku
mencocokkan	men cocok kan
berbentuk	ber bentuk
terancam	ter ancam
anak	anak
merapi	men rapi
polandia	polandia
gumuli	gumul i
ajaranmu	ajar an mu
membuka	men buka
tunggal	tunggal
menghitungnya	men hitung nya
narkoba	narkoba
format	format
berbalik	ber balik
patroli	patroli
papan	papan
acak	acak
jelas	jelas
membanting	men banting
terpilihnya	ter pilih nya
baiknya	baik nya
fragmen	fragmen
berkontribusi	ber kontribusi
celaka	celaka
bertekad	ber tekad
skenario	skenario
penyelamat	pen selamat
jurnal	jurnal
pernapasan	per napas an
dipertanyakan	di per tanya kan
sempitnya	sempit nya
diingat	di ingat
jatah	jatah
berpegangan	ber pegang an
asisten	asisten
otoriter	otoriter
menampilkan	men tampil kan
karibia	karibia
terhindar	ter hindar
mendirikan	men diri kan
memisahkannya	men pisah kan nya
tunduk	tunduk
pengungsian	pen ungsi an
pembentukan	pen bentuk an
berlipat	ber lipat
tambahannya	tambah an nya
dikeluarkannya	di keluar kan nya
kabinet	kabinet
dinginnya	dingin nya
mendefinisikan	men definisi kan
pembukaan	pen buka an
ditempeli	di tempel i
berkampanye	ber kampanye
pembenahan	pen benah an
merumput	men rumput
pengenal	pen kenal
dikembalikan	di kembali kan
berkewajiban	ber ke wajib an
seksi	seks i
meminjamnya	men pinjam nya
memudarkan	men pudar kan
disediakan	di sedia kan
selusin	se lusin
termotivasi	ter motivasi
perpipaan	per pipa an
bahan	bah an
ibuku	ibu ku
melembaga	men lembaga
tersayat	ter sayat
pertobatannya	per tobat an nya
minggu	minggu
mengefisienkan	men efisien kan
taninya	tani nya
prasarananya	prasarana nya
mencirikan	men ciri kan
konstituen	konstituen
sini	sini
karyawan	karya wan
menyangkut	men sangkut
nasib	nasib
membutuhkan	men butuh kan
penilik	pen tilik
terakreditasi	ter akreditasi
menelepon	men telepon
tempati	tempat i
corak	corak
unjuk	unjuk
setahun	se tahun
lega	lega
menjaminkan	men jamin kan
memusyawarahkannya	men musyawarah kan nya
dikoordinasi	di koordinasi
pengaturnya	pen atur nya
menyeberangi	men seberang i
modifikasi	modifikasi
barangsiapa	barangsiapa
didedikasikan	di dedikasi kan
campur	campur
meninjau	men tinjau
kritik	kritik
dikutip	di kutip
mendaratkan	men darat kan
merombak	men rombak
pengepungan	pen kepung an
murni	murni
penunggak	pen tunggak
investor	investor
munculnya	muncul nya
urbanisasi	urbanisasi
lestari	lestari
kesal	kesal
dimobilisasi	di mobilisasi
pemainnya	pen main nya
menyenangkan	men senang kan
mengepalai	men kepala i
keluarga	keluarga
penelitiannya	pen teliti an nya
turunannya	turun an nya
diapit	di apit
ayam	ayam
minimalnya	minimal nya
nonpemerintah	non pen perintah
kepunyaan	ke punya an
ditjen	ditjen
berbisik	ber bisik
manajemen	manajemen
kisaran	kisar an
sebulan	se bulan
mengunjungi	men kunjung i
penjualan	pen jual an
gulat	gulat
terpaut	ter paut
menggadai	men gadai
diterjemahkan	di terjemah kan
dicerminkan	di cermin kan
dominan	dominan
kuatirmu	kuatir mu
tenggang	tenggang
disingkapkan	di singkap kan
hakekatnya	hakekat nya
aksesnya	akses nya
kandungmu	kandung mu
tubuhmu	tubuh mu
mendebarkan	men debar kan
berlangsungnya	ber langsung nya
dipenuhi	di penuh i
pendefinisian	pen definisi an
memudar	men pudar
proteinnya	protein nya
cadangan	cadang an
mengganggu	men ganggu
bersiap	ber siap
dipraktikkan	di praktik kan
kapital	kapital
putrinya	putri nya
pasarnya	pasar nya
dakwaan	dakwa an
mentargetkan	men target kan
mandiri	mandiri
dijadikannya	di jadi kan nya
tepian	tepi an
setingkat	se tingkat
emas	emas
otomatis	otomatis
pemberiannya	pen beri an nya
bandara	bandara
disingkirkan	di singkir kan
perlintasan	per lintas an
dibuktikan	di bukti kan
kritikus	kritikus
disodorkan	di sodor kan
mengingatnya	men ingat nya
pidatonya	pidato nya
digital	digital
berdetak	ber detak
awan	awan
ekor	ekor
ditepatinya	di tepat i nya
berkompeten	ber kompeten
mementingkan	men penting kan
mengontrakkan	men kontrak kan
gigi	gigi
dukungan	dukung an
terkorup	ter korup
mendatangi	men datang i
mengeruk	men keruk
perumpamaannya	per umpama an nya
girang	girang
muluk	muluk
membebaskan	men bebas kan
menghakimi	men hakim i
tersegmentasi	ter segmentasi
amoral	amoral
pengrusakan	pen rusak an
pernafasan	per nafas an
penataan	pen tata an
pengenalan	pen kenal an
rutinitasnya	rutinitas nya
ditimpakan	di timpa kan
menyamai	men sama i
mengirim	men kirim
menggelapkan	men gelap kan
berotoritas	ber otoritas
perpisahan	per pisah an
memutuskan	men putus kan
seusia	se usia
demonstran	demonstran
memperbarui	men baru i
perilaku	perilaku
sekeluarga	se keluarga
kafir	kafir
mangkuk	mangkuk
ruh	ruh
berpihak	ber pihak
mengikat	men ikat
terjaminnya	ter jamin nya
menyemangati	men semangat i
diikat	di ikat
berlantai	ber lantai
atlet	atlet
penentuannya	pen tentu an nya
ketidakjujuran	ke tidak jujur an
terhisap	ter hisap
asalnya	asal nya
tantangannya	tantang an nya
pengembaraan	pen kembara an
aktris	aktris
hatiku	hati ku
tanaman	tanam an
penularan	pen tular an
mentri	mentri
menabrakkannya	men tabrak kan nya
direnovasi	di renovasi
memperkokoh	men kokoh
semburan	sembur an
penghinaan	pen hina an
menyusu	men susu
leher	leher
digeluti	di gelut i
rambutku	rambut ku
dicarikan	di cari kan
pemberkasan	pen berkas an
tersedot	ter sedot
ketidakefektifan	ke tidak efektif an
terpuruknya	ter puruk nya
penjelasan	pen jelas an
kritikan	kritik an
turki	turki
penyelenggaraan	pen selenggara an
puskesmasnya	puskesmas nya
rancu	rancu
cukurnya	cukur nya
negatifnya	negatif nya
mengkredit	men kredit
antarlembaga	antar lembaga
memperdalam	men dalam
mencemarkan	men cemar kan
penerimaan	pen terima an
jiwa	jiwa
optimalnya	optimal nya
kelas	kelas
rutinitas	rutinitas
menyediakan	men sedia kan
ditekuninya	di tekun i nya
menghafalkan	men hafal kan
mengurus	men urus
menebus	men tebus
muram	muram
pasangan	pasang an
mengaliri	men alir i
bedah	bedah
kereta	kereta
terlarut	ter larut
fasilitatornya	fasilitator nya
maraknya	marak nya
disimpan	di simpan
lahan	lahan
didasarkan	di dasar kan
terampuh	ter ampuh
geram	geram
yupiter	yupiter
bilik	bilik
memperlengkapi	men lengkap i
menganyam	men anyam
menyanggah	men sanggah
sikapnya	sikap nya
diwarnai	di warna i
olimpiade	olimpiade
materi	materi
triwulanan	triwulan an
suntikan	suntik an
kanannya	kanan nya
figur	figur
berdatangan	ber datang an
figurnya	figur nya
daur	daur
melamar	men lamar
fosil	fosil
dimotori	di motor i
isak	isak
tersinggung	ter singgung
melimpahnya	men limpah nya
penerjemahan	pen terjemah an
tebal	tebal
kutempatkan	ku tempat kan
strukturnya	struktur nya
terkoordinasi	ter koordinasi
berasal	ber asal
diperkenankan	di per kenan kan
dilantunkan	di lantun kan
sd	sd
bergelantungan	ber gelantung an
penyedia	pen sedia
bantalan	bantal an
sebutan	sebut an
periang	pen riang
guntingan	gunting an
penindasan	pen tindas an
berkuasa	ber kuasa
motor	motor
berbau	ber bau
mertua	mertua
pembatalan	pen batal an
jeda	jeda
koordinasinya	koordinasi nya
logika	logika
mengajak	men ajak
penargetannya	pen target an nya
mengganti	men ganti
miliknya	milik nya
merayakan	men raya kan
mapannya	mapan nya
perimbangan	per imbang an
basis	basis
berpikir	ber pikir
membangkitkanku	men bangkit kan ku
sebaiknya	se baik nya
penyeragaman	pen seragam an
jenjang	jenjang
diperhitungkan	di per hitung kan
penyerapan	pen serap an
penerbangannya	pen terbang an nya
kiriman	kirim an
batal	batal
sarana	sarana
bercanda	ber canda
jaga	jaga
direkapitulasi	di rekapitulasi
terungkap	ter ungkap
bayangannya	bayang an nya
berhubungan	ber hubung an
mendokumentasi	men dokumentasi
bajakan	bajak an
diperluas	di per luas
kelamin	kelamin
pengucapan	pen ucap an
firaun	firaun
diembannya	di emban nya
akhirat	akhirat
memfoto	men foto
mencampur	men campur
asuhan	asuh an
menggagalkan	men gagal kan
hotel	hotel
peraga	pen raga
ketetapan	ke tetap an
kemunculannya	ke muncul an nya
sumbangan	sumbang an
menelusuri	men telusuri
pemenuhan	pen penuh an
berburu	ber buru
pintu	pintu
kecaman	kecam an
cucunya	cucu nya
menyusul	men susul
dihafalkan	di hafal kan
pendesentralisasian	pen desentralisasi an
penggantiannya	pen ganti an nya
keterlibatan	ke terlibat an
memproteksi	men proteksi
diakomodasikan	di akomodasi kan
belakangku	belakang ku
pandang	pandang
ikat	ikat
didirikan	di diri kan
alternatifnya	alternatif nya
jaman	jam an
nonteknis	nonteknis
pendataan	pen data an
bangsa	bangsa
utusan	utus an
otaknya	otak nya
sangkut	sangkut
stagnan	stagnan
menghibur	men hibur
otak	otak
variasi	variasi
pengadilan	pen adil an
terdampak	ter dampak
minta	minta
dibunuh	di bunuh
usulan	usul an
doakan	doa kan
perkuliahan	per kuliah an
invasi	invasi
keping	keping
kanker	kanker
kamp	kamp
memberitakan	men berita kan
bergantian	ber ganti an
kejutan	kejut an
kawal	kawal
tindakannya	tindak an nya
ciptaan	cipta an
letak	letak
menggeluti	men gelut i
berbenturan	ber bentur an
konfirmasi	konfirmasi
dipacu	di pacu
diinvestasikan	di investasi kan
lambat	lambat
tukang	tukang
memperberat	men berat
digodok	di godok
penjamuran	pen jamur an
susunan	susun an
santapan	santap an
ekstrim	ekstrim
sesamaku	se sama aku
pencacah	pen cacah
memucat	men pucat
komputerisasi	komputerisasi
peninjau	pen tinjau
dipertahankan	di per tahan kan
hadirnya	hadir nya
tamak	tamak
naiknya	naik nya
server	server
diperebutkan	di per rebut kan
khasiatnya	khasiat nya
didampingi	di damping i
condong	condong
berkeberatan	ber ke berat an
jembatan	jembatan
dihilangkan	di hilang kan
berjubahkan	ber jubah kan
mengendalikan	men kendali kan
abdikan	abdi kan
edaran	edar an
disegarkan	di segar kan
terbitkan	terbit kan
terinfeksi	ter infeksi
pendiri	pen diri
melestarikan	men lestari kan
memancingnya	men pancing nya
cek	cek
memformulasikan	men formulasi kan
seberat	se berat
dicapai	di capai
kompensasi	kompensasi
diamanatkan	di amanat kan
antarstatus	antar status
dihasilkan	di hasil kan
menjauhkan	men jauh kan
marah	marah
membengkak	men bengkak
nampaknya	nampak nya
topeng	topeng
ranjang	ranjang
dirangkum	di rangkum
pembayarannya	pen bayar an nya
difirmankan	di firman kan
menyebarnya	men sebar nya
penanggulangan	pen tanggulang an
sepuasnya	se puas nya
lintas	lintas
pujikan	puji kan
berkebangsaan	ber ke bangsa an
jujur	jujur
penghalau	pen halau
luput	luput
rawa	rawa
instruksi	instruksi
iklim	iklim
israel	israel
sukacitamu	sukacita mu
tebusan	tebus an
menjamur	men jamur
arogan	arogan
kebalikannya	ke balik an nya
dusun	dusun
lipatan	lipat an
target	target
madu	madu
peka	peka
mengusulkan	men usul kan
terealisasikan	ter realisasi kan
putuskan	putus kan
dipulihkan	di pulih kan
penyebaran	pen sebar an
mengenalnya	men kenal nya
diperdalam	di per dalam
terorganisir	ter organisir
pengangkut	pen angkut
hadir	hadir
tertuang	ter tuang
anjlok	anjlok
saksi	saksi
sanksi	sanksi
oknum	oknum
pencetus	pen cetus
perekrutan	pen rekrut an
diulangi	di ulang i
longgarnya	longgar nya
dikasih	di kasih
bermartabat	ber martabat
komandan	komandan
penekan	pen tekan
geluti	gelut i
penyiaran	pen siar an
terlembagakan	ter lembaga kan
dipegang	di pegang
kayuh	kayuh
dikatakan	di kata kan
harapan	harap an
peneliti	pen teliti
mengatakannya	men kata kan nya
perunggu	perunggu
ditangani	di tangan i
antarvariabel	antar variabel
menghentikan	men henti kan
berterus	ber terus
sorenya	sore nya
dimodifikasi	di modifikasi
beruntun	beruntun
motonya	moto nya
bermacam	ber macam
dibawah	di bawah
dilacak	di lacak
meraup	men raup
pertanggungjawaban	per tanggungjawab an
lenyap	lenyap
dikaji	di kaji
menyingsingkan	men singsing kan
ditegakkan	di tegak kan
segel	segel
disisihkan	di sisih kan
didialogkan	di dialog kan
memasyarakat	men masyarakat
diterbitkan	di terbit kan
marjinal	marjinal
