nontarif	non tarif
disahkannya	di sah kan nya
menyetujuinya	men setuju i nya
memaksanya	men paksa nya
menyuapkannya	men suap kan nya
duka	duka
lunturnya	luntur nya
saljumu	salju mu
jurang	jurang
mendominasi	men dominasi
dinaikkan	di naik kan
dikejar	di kejar
sinergi	sinergi
instrumen	instrumen
ukur	ukur
sejenisnya	se jenis nya
mengevaluasi	men evaluasi
menjalar	men jalar
mengenang	men kenang
diperoleh	di peroleh
zakat	zakat
ketidaksuksesan	ke tidak sukses an
pengusahaan	pen usaha an
berfirman	ber firman
membungkus	men bungkus
berujar	ber ujar
mengimplementasi	men implementasi
tersingkat	ter singkat
obyek	obyek
induknya	induk nya
modul	modul
berprasangka	ber prasangka
perhitungannya	per hitung an nya
diurutkan	di urut kan
merumuskannya	men rumus kan nya
publikasi	publikasi
gelora	gelora
standarisasi	standarisasi
forensik	forensik
menonton	men tonton
pengunjuk	pen unjuk
dikurangi	di kurang i
kusampaikan	ku sampai kan
setapak	se tapak
kepindahan	ke pindah an
penegak	pen tegak
memperkatakan	men kata kan
perlindungan	per lindung an
meminjam	men pinjam
cadang	cadang
bima	bima
antarindustri	antar industri
terkepung	ter kepung
transformasi	transformasi
deposito	deposito
terpakai	ter pakai
buka	buka
militer	militer
unjuk	unjuk
logam	logam
terkasih	ter kasih
pembuat	pen buat
aktris	aktris
apik	apik
nyawaku	nyawa aku
penerimaan	pen terima an
memuaskan	men puas kan
perolehan	peroleh an
menyusul	men susul
urutan	urut an
dibentuk	di bentuk
menyeberangi	men seberang i
peningkatan	pen tingkat an
pemberitahuannya	pen beritahu an nya
bertarung	ber tarung
jamak	jamak
anggap	anggap
menggolkan	men gol kan
diwakilinya	di wakil i nya
berat	berat
menyoroti	men sorot i
menyebutnya	men sebut nya
tertampung	ter tampung
berbenah	ber benah
intensi	intens i
dikendalikan	di kendali kan
orangtuanya	orangtua nya
merebak	men rebak
susut	susut
dagingnya	daging nya
dipaksa	di paksa
gemuruh	gemuruh
dasawarsa	dasawarsa
terpajang	ter pajang
sekeluarga	se keluarga
antarklub	antar klub
upayanya	upaya nya
menciprat	men ciprat
indonesia	indonesia
dimobilisasi	di mobilisasi
buaian	buai an
pindahan	pindah an
pemenuhannya	pen penuh an nya
mutunya	mutu nya
budaknya	budak nya
perpindahan	per pindah an
hanyut	hanyut
dinikahi	di nikah i
fasilitas	fasilitas
gemuk	gemuk
sebidang	se bidang
bersifat	ber sifat
penundaan	pen tunda an
hebatnya	hebat nya
berekspresi	ber ekspresi
mendengarkannya	men dengar kan nya
handuk	handuk
tragis	tragis
berorganisasi	ber organisasi
kombinasi	kombinasi
terbaring	ter baring
mainanmu	main an mu
diperbolehkan	di per boleh kan
terusir	ter usir
selidiki	selidik i
menyedihkan	men sedih kan
mengadakan	men ada kan
angsurannya	angsur an nya
muda	muda
merancang	men rancang
penipuan	pen tipu an
pujian	puji an
sumber	sumber
berhak	ber hak
mengadministrasikan	men administrasi kan
proposal	proposal
putri	putri
dahaga	dahaga
bercela	ber cela
diadakannya	di ada kan nya
menggoncangkan	men goncang kan
menjabarkan	men jabar kan
dicukur	di cukur
menyusahkan	men susah kan
prosedural	prosedural
menemani	men teman i
inisiatifnya	inisiatif nya
mengolah	men olah
jelek	jelek
membengkak	men bengkak
pulau	pulau
terkelompok	ter kelompok
dihubungkan	di hubung kan
ditunda	di tunda
menjelaskannya	men jelas kan nya
khawatirkan	khawatir kan
intimidasi	intimidasi
mengejeknya	men ejek nya
diparkir	di parkir
diplomatik	diplomatik
memelihara	men pelihara
tembus	tembus
melelahkan	men lelah kan
praktiknya	praktik nya
ritel	ritel
pemodal	pen modal
pencair	pen cair
sapi	sapi
alamnya	alam nya
tolongku	tolong ku
permen	permen
domba	domba
seusai	se usai
dibuatkannya	di buat kan nya
sejumlah	se jumlah
kotanya	kota nya
cintanya	cinta nya
pengadilan	pen adil an
kuburan	kubur an
capai	capai
tangkapannya	tangkap an nya
dihadiahi	di hadiah i
persekutuan	per sekutu an
terindah	ter indah
bergunung	ber gunung
selisihnya	selisih nya
operasinya	operasi nya
tampung	tampung
motor	motor
mentah	mentah
pendekatannya	pen dekat an nya
terganggunya	ter ganggu nya
abjad	abjad
diskriminasi	diskriminasi
pers	pers
berpegang	ber pegang
menerapkannya	men terap kan nya
ulasan	ulas an
server	server
berdiskusi	ber diskusi
susulan	susul an
berdedikasi	ber dedikasi
renang	renang
merotasi	men rotasi
awet	awet
menit	menit
gerutu	gerutu
kelapanya	kelapa nya
coklat	coklat
dagingku	daging ku
komersial	komersial
rangkuman	rangkum an
bertenun	ber tenun
sutradara	sutradara
berwawasan	ber wawasan
jaya	jaya
pasokan	pasok an
menjuarai	men juara i
imbangannya	imbang an nya
kerasnya	keras nya
cerita	cerita
menanam	men tanam
berujung	ber ujung
mampuan	mampu an
mengikat	men ikat
dengarkan	dengar kan
lumpur	lumpur
belajar	belajar
komunikasi	komunikasi
menyingkap	men singkap
ketidakpuasan	ke tidak puas an
isteri	isteri
stempel	stempel
membatu	men batu
kelola	kelola
serbuan	serbu an
perwakilannya	per wakil an nya
demokratis	demokratis
meliputi	men liput i
ditinggalkannya	di tinggal kan nya
tesisnya	tesis nya
mandinya	mandi nya
rehabilitasinya	rehabilitasi nya
mengucapkan	men ucap kan
diperhadapkan	di per hadap kan
seruan	seru an
menggandakannya	men ganda kan nya
sarananya	sarana nya
dikenal	di kenal
wewenangnya	wewenang nya
menurun	men turun
balita	balita
panenan	panen an
tercapainya	ter capai nya
munculnya	muncul nya
membolos	men bolos
biologi	biologi
kisarannya	kisar an nya
kondisi	kondisi
merenggut	men renggut
tetes	tetes
berkontribusi	ber kontribusi
terhimpun	ter himpun
bacaan	baca an
menganggukkan	men angguk kan
ajaibnya	ajaib nya
penyuluhan	pen suluh an
sederhanakan	sederhana kan
direspon	di respon
menyesali	men sesal i
pemikir	pen pikir
tertata	ter tata
mengkoordinir	men koordinir
diterimanya	di terima nya
jejak	jejak
harap	harap
dijunjung	di junjung
memindai	men pindai
berorientasi	ber orientasi
mengingatmu	men ingat mu
muslihat	muslihat
menghubungkannya	men hubung kan nya
belasan	belas an
dilemahkan	di lemah kan
ibarat	ibarat
puas	puas
dimainkan	di main kan
menghapuskan	men hapus kan
piala	piala
bapaknya	bapak nya
enak	enak
mudanya	muda nya
konsekuensi	konsekuensi
pendampingan	pen damping an
mengelolanya	men kelola nya
sajian	saji an
berkecukupan	ber ke cukup an
harun	harun
sahabat	sahabat
antarkomunitas	antar komunitas
cair	cair
mengontrak	men kontrak
mengitariku	men kitar i ku
likuiditas	likuiditas
didiagnosis	di diagnosis
terpisah	ter pisah
familinya	famili nya
kesalnya	kesal nya
menyangga	men sangga
kristen	kristen
terik	terik
menayangkan	men tayang kan
nonsaham	non saham
koloni	koloni
mereproduksinya	men reproduksi nya
teraman	ter aman
kencang	kencang
arena	arena
gembalaku	gembala aku
perawatan	pen rawat an
menginvestasikan	men investasi kan
layaknya	layak nya
iblis	iblis
mengadunya	men adu nya
diberatkan	di berat kan
merumput	men rumput
gumpalan	gumpal an
berpisah	ber pisah
bertakhta	ber takhta
cakupannya	cakup an nya
memprakarsai	men prakarsa i
memotivasi	men motivasi
jabatannya	jabat an nya
mematikan	men mati kan
tabungannya	tabung an nya
mawarnya	mawar nya
simpang	simpang
terberatnya	ter berat nya
mengungkap	men ungkap
bertepuk	ber tepuk
kandang	kandang
merayakan	men raya kan
berinteraksi	ber interaksi
mengkhawatirkan	men khawatir kan
ditiru	di tiru
ditakuti	di takut i
membangun	men bangun
menggariskan	men garis kan
penggugat	pen gugat
badai	badai
diseleksi	di seleksi
lambatnya	lambat nya
curahan	curah an
menjadi	men jadi
serikat	serikat
yayasan	yayasan
politiknya	politik nya
pertolongan	per tolong an
rahim	rahim
aturan	atur an
gembalakan	gembala kan
tercatat	ter catat
bawakan	bawa kan
pungutan	pungut an
menggabungkan	men gabung kan
perpajakan	per pajak an
berbunyi	ber bunyi
pembekalan	pen bekal an
utangnya	utang nya
menyinergikan	men sinergi kan
persepsinya	persepsi nya
protokol	protokol
diceritakan	di cerita kan
menganut	men anut
dibantu	di bantu
merapat	men rapat
pikirkan	pikir kan
realitas	realitas
tinju	tinju
langkahnya	langkah nya
tektonik	tektonik
ketatnya	ketat nya
turunnya	turun nya
diperingatkan	di per ingat kan
fasik	fasik
menginspirasi	men inspirasi
mengelabui	men kelabui
biayanya	biaya nya
berbakat	ber bakat
tersimpan	ter simpan
mengusulkannya	men usul kan nya
pengamatannya	pengamat an nya
membicarakannya	men bicara kan nya
ikatan	ikat an
mengeram	men eram
membusukkan	men busuk kan
cacat	cacat
antarpengurus	antar pen urus
diupayakan	di upaya kan
peluru	peluru
kacau	kacau
terakomodasinya	ter akomodasi nya
prestise	prestise
jamu	jamu
antik	antik
diciptakannya	di cipta kan nya
lokalnya	lokal nya
mendetil	men detil
berpengaruh	ber pengaruh
pacuan	pacu an
darussalam	darussalam
posyandu	posyandu
angka	angka
menyangkut	men sangkut
dikenalnya	di kenal nya
bermain	ber main
iklannya	iklan nya
budimu	budi mu
terkuras	ter kuras
cerai	cerai
kami	kami
menggulirkan	men gulir kan
mengeruk	men keruk
memotong	men potong
pasca	pasca
enumerasi	enumerasi
bajakannya	bajak an nya
ketidakberanian	ke tidak berani an
demam	demam
tempatkan	tempat kan
melambaikan	men lambai kan
menggantikan	men ganti kan
isapan	isap an
membutuhkan	men butuh kan
tipis	tipis
menyemburkan	men sembur kan
kaisar	kaisar
antartempat	antar tempat
sadar	sadar
terkonsolidasi	ter konsolidasi
dihargai	di harga i
dipercayakan	di percaya kan
berpesta	ber pesta
memperbarui	men baru i
drastis	drastis
diukur	di ukur
memenangi	men menang i
berkarier	ber karier
menyiarkan	men siar kan
dimiliki	di milik i
menghilangkannya	men hilang kan nya
memuja	men puja
nutrisinya	nutrisi nya
terbayangkan	ter bayang kan
dagangnya	dagang nya
memvonis	men vonis
wujud	wujud
punglinya	pungli nya
didominasi	di dominasi
menyemangati	men semangat i
dipilihnya	di pilih nya
terhambat	ter hambat
rintisan	rintis an
mobil	mobil
1970an	1970 an
berselang	ber selang
alunan	alun an
terasing	ter asing
mengarahkannya	men arah kan nya
pembebanan	pen beban an
dikumandangkan	di kumandang kan
bi	bi
bertukar	ber tukar
fotokopinya	fotokopi nya
lambang	lambang
tubuhmu	tubuh mu
pribadi	pribadi
dipungut	di pungut
menghafalkan	men hafal kan
bagiannya	bagi an nya
mengiring	men iring
mengiklankan	men iklan kan
menulis	men tulis
diikat	di ikat
ilmiah	ilmiah
diumumkan	di umum kan
disinggung	di singgung
melanda	men landa
memilikinya	men milik i nya
proporsinya	proporsi nya
terbuang	ter buang
mengomentari	men komentar i
mencairkan	men cair kan
sopan	sopan
menghadang	men hadang
resmi	resmi
berargumentasi	ber argumentasi
menyiangi	men siang i
rekaan	reka an
menyebarnya	men sebar nya
mengutip	men kutip
milyaran	milyar an
berbuntut	ber buntut
terjaga	ter jaga
minum	minum
elektronik	elektronik
petik	petik
ditembuskan	di tembus kan
tersadar	ter sadar
salib	salib
merajut	men rajut
antardaerah	antar daerah
melatih	men latih
berpakaian	ber pakai an
seindah	se indah
tengah	tengah
sensitif	sensitif
asumsi	asumsi
mengungsi	men ungsi
ranting	ranting
ketidakmampuan	ke tidak mampu an
lidah	lidah
menderita	men derita
disuapi	di suap i
memperingatkan	men ingat kan
menganiaya	men aniaya
penghancuran	pen hancur an
disemayamkan	di semayam kan
rata	rata
bersoal	ber soal
laparnya	lapar nya
daud	daud
ditekuni	di tekun i
timbal	timbal
merestui	men restu i
mencakupi	men cakup i
mendermakan	men derma kan
ketidaktaatan	ke tidak taat an
menggosipkan	men gosip kan
andil	andil
minimal	minimal
perjanjian	per janji an
dihasilkannya	di hasil kan nya
cemerlang	cemerlang
klinik	klinik
advokat	advokat
variasinya	variasi nya
menggugat	men gugat
menorehkan	men toreh kan
skemanya	skema nya
warisnya	waris nya
mulanya	mula nya
mini	min i
dimutakhirkan	di mutakhir kan
pasifik	pasifik
takhta	takhta
pencakar	pen cakar
cukupi	cukup i
licik	licik
disempurnakan	di sempurna kan
mempertegas	men tegas
didengar	di dengar
bervariasinya	ber variasi nya
persahabatan	per sahabat an
terorisme	terorisme
terprogram	ter program
meluruskannya	men lurus kan nya
tolong	tolong
dimilikinya	di milik i nya
mengaruniakan	men karunia kan
penggilingan	pen giling an
imunisasi	imunisasi
hadirnya	hadir nya
unggul	unggul
pemberdayaannya	pemberdayaan nya
lantai	lantai
terkemuka	ter kemuka
sepak	sepak
haman	ham an
berlainan	ber lain an
bakso	bakso
difungsikan	di fungsi kan
ilahinya	ilahi nya
menyumbang	men sumbang
antartingkat	antar tingkat
menyemangatinya	men semangat i nya
sarangnya	sarang nya
besok	besok
botani	botani
diutarakan	di utara kan
menggenapi	men genap i
mempelajari	men pelajar i
perkara	perkara
sepucuk	se pucuk
penunggakan	pen tunggak an
diangsur	di angsur
besoknya	besok nya
perbaikannya	per baik an nya
bergulat	ber gulat
butuh	butuh
berpendapat	ber pen dapat
gejala	gejala
secangkir	se cangkir
disangga	di sangga
sengketa	sengketa
dijanjikan	di janji kan
mengisahkan	men kisah kan
menyalin	men salin
eksportir	eksportir
tanamannya	tanam an nya
laporannya	lapor an nya
dimasukkan	di masuk kan
makanannya	makan an nya
terbang	terbang
jadinya	jadi nya
dagangannya	dagang an nya
voltase	voltase
rambutmu	rambut mu
darahnya	darah nya
mengunjunginya	men kunjung i nya
udang	udang
entitas	entitas
tembok	tembok
menyerah	men serah
santapan	santap an
posyandunya	posyandu nya
menambahkan	men tambah kan
kredit	kredit
pencemaran	pen cemar an
memeriksakan	men periksa kan
memajukan	men maju kan
dihimbau	di himbau
sumatra	sumatra
konvensional	konvensional
kutinggalkan	ku tinggal kan
mentalitas	mentalitas
alumni	alumni
tabung	tabung
jenazah	jenazah
pelajari	pelajar i
perayaan	pen raya an
artian	arti an
sesali	sesal i
agamanya	agama nya
berkuda	ber kuda
mengairi	men air i
letusannya	letus an nya
pelukan	peluk an
merancangkan	men rancang kan
borongan	borong an
beradu	ber adu
antrian	antri an
sayuran	sayur an
direka	di reka
mengadu	men adu
pbb	pbb
disinyalir	di sinyalir
terdukung	ter dukung
diusulkan	di usul kan
menjaga	men jaga
pemula	pen mula
mengoleksi	men koleksi
akibatkan	akibat kan
bos	bos
canada	canada
pilihannya	pilih an nya
hidrogen	hidrogen
digaji	di gaji
penyerahannya	pen serah an nya
berhikmat	ber hikmat
belenggu	belenggu
kontraknya	kontrak nya
goyang	goyang
solo	solo
pemikirannya	pen pikir an nya
berskala	ber skala
sekerja	se kerja
mengaudit	men audit
pelunak	pen lunak
parameter	parameter
hantam	hantam
pasaran	pasar an
menenangkan	men tenang kan
tepian	tepi an
penelitian	pen teliti an
diprakarsai	di prakarsa i
normal	normal
sangkaan	sangka an
anjlok	anjlok
koreksi	koreksi
absen	absen
mendambakan	men damba kan
seintensif	se intensif
tema	tema
bertanding	ber tanding
baitul	baitul
kotornya	kotor nya
tertumpuk	ter tumpuk
dikonsultasikan	di konsultasi kan
banjir	banjir
rapat	rapat
pertemanan	per teman an
antisipasi	antisipasi
kebungkaman	ke bungkam an
gejalanya	gejala nya
isolasi	isolasi
penelaahan	pen telaah an
kiosnya	kios nya
penambah	pen tambah
mengambil	men ambil
pelapor	pen lapor
orde	orde
suami	suami
kakaknya	kakak nya
dijangkau	di jangkau
menggali	men gali
lestari	lestari
sinyal	sinyal
pertanyaan	per tanya an
menunda	men tunda
pentingnya	penting nya
mencampuri	men campur i
rekreasi	rekreasi
sekawasan	se kawasan
penjualan	pen jual an
terdapat	ter dapat
kotorannya	kotor an nya
enaknya	enak nya
dinyatakannya	di nyata kan nya
kuliah	kuliah
terabaikan	ter abai kan
ketidakseragaman	ke tidak seragam an
deklarasi	deklarasi
kokoh	kokoh
sukunya	suku nya
meresahkan	men resah kan
pembangunannya	pen bangun an nya
digadaikan	di gadai kan
diabaikannya	di abai kan nya
mencuri	men curi
pemogokan	pen mogok an
renggang	renggang
akui	aku i
etnis	etnis
ditepati	di tepat i
persemaian	per semai an
polusi	polusi
cetakan	cetak an
mengabdi	men abdi
nyaris	nyaris
sepakat	sepakat
mengklarifikasi	men klarifikasi
pemeringkatan	pen peringkat an
dilantunkannya	di lantun kan nya
meninggalkan	men tinggal kan
antardesa	antar desa
melalaikan	men lalai kan
usang	usang
rendahkan	rendah kan
mengungkapkannya	men ungkap kan nya
iuran	iuran
masukan	masuk an
disaat	di saat
kemukakan	kemuka kan
mendekatinya	men dekat i nya
sebatang	se batang
putranya	putra nya
bergelar	ber gelar
menanggungnya	men tanggung nya
perut	perut
dipastikan	di pasti kan
sekerjanya	se kerja nya
pautnya	paut nya
disepelekan	di sepele kan
menyelubungi	men selubung i
kebangunan	ke bangun an
tersita	ter sita
mental	mental
bobot	bobot
pemesanan	pen pesan an
pencapaian	pen capai an
barangnya	barang nya
mendiktekan	men dikte kan
tampilkan	tampil kan
rasionya	rasio nya
bersinggungan	ber singgung an
penimbunan	pen timbun an
ironis	ironis
terintegrasi	ter integrasi
musuhnya	musuh nya
kiamat	kiamat
perkenalan	per kenal an
kelelawar	kelelawar
sesi	sesi
dipilah	di pilah
memperjuangkan	men juang kan
memfoto	men foto
rekor	rekor
payahmu	payah mu
penempelan	pen tempel an
mencolok	men colok
semenit	se menit
memeriksa	men periksa
menghilang	men hilang
menunjuk	men tunjuk
daratan	darat an
pemecatan	pen pecat an
komplikasi	komplikasi
terpukau	ter pukau
menghamparkan	men hampar kan
dikaruniakan	di karunia kan
lingkar	lingkar
dipertanggungjawabkan	di per tanggungjawab kan
merangkak	men rangkak
bersantap	ber santap
menyuburkan	men subur kan
berawal	ber awal
akuntabilitasnya	akuntabilitas nya
keluhan	keluh an
pengorbanan	pen korban an
penerjemahan	pen terjemah an
dimediasi	di mediasi
memperlancar	men lancar
mencukur	men cukur
berliku	ber liku
diurai	di urai
persegi	persegi
mencanangkan	men canang kan
penghinaan	pen hina an
mendekatkan	men dekat kan
penyucian	pen suci an
maksimum	maksimum
kotamadya	kotamadya
pemungut	pen pungut
penipu	pen tipu
bersepakat	ber sepakat
pendahuluan	pendahulu an
berlutut	ber lutut
pemasok	pen pasok
gusar	gusar
hafalan	hafal an
ditujukan	di tuju kan
perabot	perabot
menelan	men telan
pengurusan	pen urus an
pemelihara	pen pelihara
duplikasi	duplikasi
bertingkat	ber tingkat
penari	pen tari
kimiawi	kimiawi
perumpamaannya	per umpama an nya
bahas	bahas
kandangmu	kandang mu
mempersempit	men sempit
sup	sup
hakim	hakim
dibangunnya	di bangun nya
buruk	buruk
terucap	ter ucap
menghambat	men hambat
sidik	sidik
amarah	amarah
timah	timah
disuntik	di suntik
pengecer	pen ecer
gubernur	gubernur
aksesnya	akses nya
akrab	akrab
lelah	lelah
perempuannya	perempuan nya
hitungan	hitung an
penyelesaian	pen selesai an
pemberian	pen beri an
melebihi	men lebih i
perspektif	perspektif
rute	rute
istilah	istilah
permulaan	per mula an
masjid	masjid
ditekan	di tekan
musyawarah	musyawarah
menjualnya	men jual nya
disetorkan	di setor kan
perampingan	pen ramping an
pelindungnya	pen lindung nya
daratnya	darat nya
mengidentifikasikan	men identifikasi kan
surabaya	surabaya
antusias	antusias
gratis	gratis
diupah	di upah
teman	teman
berkewajiban	ber ke wajib an
pemilahan	pen pilah an
syaraf	syaraf
kabul	kabul
berfluktuasi	ber fluktuasi
sensasi	sensasi
memadamkan	men madam kan
cacing	cacing
dikombinasikan	di kombinasi kan
pengurutan	pen urut an
mengaburkan	men kabur kan
bisnis	bisnis
senasib	se nasib
tertua	ter tua
penumpukan	pen tumpuk an
antarbidang	antar bidang
sayapnya	sayap nya
tangan	tangan
pengasinan	pen asin an
tebus	tebus
selesai	selesai
berdomisili	ber domisili
bersahabat	ber sahabat
hasil	hasil
perampok	pen rampok
menceritakan	men cerita kan
diperkenan	di per kenan
berkemungkinan	ber kemungkinan
jahe	jahe
diblokir	di blokir
malapetaka	malapetaka
ramah	ramah
pendataan	pen data an
pertanaman	per tanam an
jauhnya	jauh nya
proyek	proyek
diarahkan	di arah kan
tahapan	tahap an
lembaga	lembaga
peniru	pen tiru
terperangkap	ter pen rangkap
identitas	identitas
dikirimkan	di kirim kan
sebangsaku	se bangsa aku
membelokkan	men belok kan
pertambahan	per tambah an
tanganmu	tangan mu
dilengkapi	di lengkap i
transisi	transisi
ruh	ruh
memberikannya	men beri kan nya
terbitnya	terbit nya
diputuskan	di putus kan
beradaptasi	ber adaptasi
mengalokasikan	men alokasi kan
mengklasifikasi	men klasifikasi
pandang	pandang
komersialnya	komersial nya
menguasainya	men kuasa i nya
dihuni	di huni
jarak	jarak
fisika	fisika
persaingan	per saing an
pemantau	pen pantau
antarpemerintahan	antar pen perintah an
menghafal	men hafal
terjalin	ter jalin
jamuan	jamu an
penumpangan	pen tumpang an
pencantuman	pen cantum an
diluruskan	di lurus kan
arahan	arah an
turis	turis
lokasi	lokasi
asi	as i
dikendarainya	di kendara i nya
badannya	badan nya
menerangkan	men terang kan
membuangnya	men buang nya
kedelai	kedelai
berkondisi	ber kondisi
memegangnya	men pegang nya
mengimplementasikan	men implementasi kan
bedanya	beda nya
dikemas	di kemas
pasukan	pasukan
berpemerintahan	ber pen perintah an
steril	steril
penebus	pen tebus
ditebus	di tebus
berhubung	ber hubung
diverifikasi	di verifikasi
cinta	cinta
mm	mm
maraknya	marak nya
denyut	denyut
karet	karet
terlontar	ter lontar
meninggikan	men tinggi kan
rintangan	rintang an
dipelajari	di pelajar i
kamis	kamis
diulangi	di ulang i
diintegrasikan	di integrasi kan
deretan	deret an
menguduskan	men kudus kan
bersejarah	ber sejarah
pendamaian	pen damai an
menyebabkannya	men sebab kan nya
esa	esa
pakan	pakan
terhindarkan	ter hindar kan
manfaatnya	manfaat nya
menjangkau	men jangkau
gangguan	ganggu an
terhubungi	ter hubung i
disamakan	di sama kan
penyangga	pen sangga
netral	netral
klaim	klaim
didapatnya	di dapat nya
bahasan	bahas an
apresiasinya	apresiasi nya
sarana	sarana
antarkepala	antar kepala
usulannya	usul an nya
popoknya	popok nya
membalikkan	men balik kan
amal	amal
menyapu	men sapu
tertekan	ter tekan
bayi	bayi
membuatmu	men buat mu
batas	batas
pengejaran	pen kejar an
percakapan	per cakap an
mungilnya	mungil nya
memutuskan	men putus kan
direkomendasikan	di rekomendasi kan
kebunnya	kebun nya
memujikan	men puji kan
seimannya	se iman nya
terpendam	ter pendam
mengenyahkan	men enyah kan
memarkir	men parkir
perkelahian	per kelahi an
penggoda	pen goda
saya	saya
persalinannya	per salin an nya
mengampuni	men ampun i
rindukan	rindu kan
bersekutu	ber sekutu
reguler	reguler
mengabarkan	men kabar kan
akbar	akbar
pengumpul	pen kumpul
gerilyawan	gerilya wan
ditempuhnya	di tempuh nya
dihadirkan	di hadir kan
nondepartemen	non departemen
diplomasi	diplomasi
bus	bus
komitenya	komite nya
prancis	prancis
penghiburan	pen hibur an
tonggak	tonggak
diperbarui	di per baru i
sampingnya	samping nya
seimbang	seimbang
berkorban	ber korban
pertolongannya	per tolong an nya
termutakhir	ter mutakhir
budi	budi
leher	leher
huni	huni
tolak	tolak
musiknya	musik nya
kompetisi	kompetisi
praktisnya	praktis nya
penyegaran	pen segar an
berganti	ber ganti
subkontrak	subkontrak
dihadapi	di hadap i
infrastrukturnya	infrastruktur nya
mengkhususkan	men khusus kan
nenek	nenek
setahun	se tahun
mengadopsi	men adopsi
diutus	di utus
ujungnya	ujung nya
sejumput	se jumput
dipacu	di pacu
perdata	perdata
lawatan	lawatan
antarpemerintah	antar pen perintah
kaku	kaku
maret	maret
mengagumi	men kagum i
perhambaan	per hamba an
terlihat	ter lihat
menatap	men tatap
kapas	kapas
penyortiran	pen sortir an
bisbol	bisbol
langsing	langsing
imigrasi	imigrasi
khasiatnya	khasiat nya
penciuman	pen cium an
berasaskan	ber asas kan
kualifikasinya	kualifikasi nya
sebenarnya	se benar nya
tertimpa	ter timpa
kriminal	kriminal
buyut	buyut
teguh	teguh
giliran	gilir an
praktek	praktek
penumpang	pen tumpang
firaun	firaun
pelebaran	pen lebar an
mengkoordinasikannya	men koordinasi kan nya
grosir	grosir
kukasihi	ku kasih i
bloknya	blok nya
diinformasikan	di informasi kan
dibutakan	di buta kan
lamban	lamban
tengkorak	tengkorak
bentukan	bentuk an
peregangan	pen regang an
ayatnya	ayat nya
bungsu	bungsu
pencoretan	pen coret an
mengecam	men kecam
prospek	prospek
urusanku	urus an ku
monopoli	monopoli
lintasan	lintas an
berperkara	ber perkara
berminat	ber minat
berteknologi	ber teknologi
menguatkan	men kuat kan
bertentangan	ber tentang an
dibuatnya	di buat nya
solusinya	solusi nya
tehnya	teh nya
pendata	pen data
penyegelan	pen segel an
pala	pala
efisien	efisien
dikompilasi	di kompilasi
teruskan	terus kan
mencegah	men cegah
lemahnya	lemah nya
punya	punya
memuat	men muat
berserah	ber serah
memfotonya	men foto nya
persaudaraannya	per saudara an nya
gugus	gugus
pesaing	pesaing
berkreasi	ber kreasi
mempekerjakannya	men pekerja kan nya
sampul	sampul
bahagia	bahagia
kehadiran	ke hadir an
diselidiki	di selidik i
tembakau	tembakau
antarwilayah	antar wilayah
dililiti	di lilit i
karirnya	karir nya
dimotivasi	di motivasi
meyakinkan	men yakin kan
diliputi	di liput i
dimata	di mata
membombardir	men bombardir
sifatnya	sifat nya
pembalasan	pen balas an
dipatok	di patok
berlangganan	ber langgan an
perserikatan	per serikat an
perkreditan	per kredit an
percepatan	per cepat an
didalamnya	di dalam nya
ucapan	ucap an
berlangsung	ber langsung
diolesi	di oles i
anaknya	anak nya
delima	delima
konversi	konversi
ditimbang	di timbang
memodernisasi	men modernisasi
sangkut	sangkut
tabrak	tabrak
penambang	pen tambang
terdapatnya	ter dapat nya
utusan	utus an
gelanggang	gelanggang
kecenderungan	kecenderungan
peta	peta
fitur	fitur
dipaksakan	di paksa kan
kejadiannya	ke jadi an nya
dipadati	di padat i
mengedarkan	men edar kan
menggantung	men gantung
diinterogasi	di interogasi
model	model
mabuk	mabuk
kostum	kostum
regulasi	regulasi
sepenting	se penting
mengajar	men ajar
aliran	alir an
tuju	tuju
rangka	rangka
ketidakikutsertaan	ke tidak ikutserta an
membencinya	men benci nya
dirobohkan	di roboh kan
teragung	ter agung
direalisasikan	di realisasi kan
membiayainya	men biaya i nya
dikukuhkan	di kukuh kan
berbuat	ber buat
pengetatan	pen ketat an
diperkenankan	di per kenan kan
marak	marak
diperbesar	di per besar
rasi	ras i
goncangkan	goncang kan
bersentuhan	ber sentuh an
penuaan	pen tua an
beton	beton
melaporkannya	men lapor kan nya
usia	usia
terhutang	ter hutang
puskesmasnya	puskesmas nya
cangkul	cangkul
pantai	pantai
membelikan	men beli kan
jenderal	jenderal
kupenuhi	ku penuh i
inggris	inggris
lekat	lekat
menyesuaikan	men sesuai kan
mengumandangkan	men kumandang kan
memanggil	men panggil
korea	korea
hal	hal
generasi	generasi
teh	teh
diformulasikan	di formulasi kan
alam	alam
menitipkan	men titip kan
pelindung	pen lindung
dibelanjakan	di belanja kan
terjembatani	ter jembatan i
konkret	konkret
menyusutnya	men susut nya
liputan	liput an
kimia	kimia
mengintimidasi	men intimidasi
teknis	teknis
terlipat	ter lipat
perahu	perahu
penghematan	pen hemat an
dipunyai	di punya i
pendahulu	pendahulu
mentargetkan	men target kan
tuturnya	tutur nya
diingatnya	di ingat nya
giat	giat
hina	hina
pintu	pintu
menguasai	men kuasa i
pelantikannya	pen lantik an nya
dipraktikkan	di praktik kan
tongkat	tongkat
pt	pt
konsumsi	konsumsi
menyejukkan	men sejuk kan
programnya	program nya
potret	potret
kendaraannya	kendara an nya
